Incoming Unit,ceed_unit,formula
gramspercubiccentimeter,kg/m³,x * 1000
lb/ft³,kg/m³,x * 62.42796
poundspercubicfoot,kg/m³,x * 62.42796
lb/in³,kg/m³,x * 27679.91
poundspercubicinch,kg/m³,x * 27679.91
oz/gal,kg/m³,x * 7.4891517
ouncespergallon,kg/m³,x * 7.4891517
lb/gal,kg/m³,x * 0.06242796
poundspergallon,kg/m³,x * 0.06242796
g/l,kg/m³,x * 1
gramsperliter,kg/m³,x * 1
mg/l,kg/m³,x * 0.001
milligramsperliter,kg/m³,x * 0.001
g/ml,kg/m³,x * 1000
gramspermilliliter,kg/m³,x * 1000
mg/ml,kg/m³,x * 1
milligramspermilliliter,kg/m³,x * 1
g/m³,kg/m³,x * 0.001
gramspercubicmeter,kg/m³,x * 0.001
mg/m³,kg/m³,x * 0.000001
milligramspercubicmeter,kg/m³,x * 0.000001
µg/m³,kg/m³,x * 0.000000001
microgramspercubicmeter,kg/m³,x * 0.000000001
ng/m³,kg/m³,x * 0.000000000001
nanogramspercubicmeter,kg/m³,x * 0.000000000001
pg/m³,kg/m³,x * 0.000000000000001
picogramspercubicmeter,kg/m³,x * 0.000000000000001
fg/m³,kg/m³,x * 0.000000000000000001
femtogramspercubicmeter,kg/m³,x * 0.000000000000000001
ag/m³,kg/m³,x * 0.000000000000000000001
attogramspercubicmeter,kg/m³,x * 0.000000000000000000001
zg/m³,kg/m³,x * 0.000000000000000000000001
zeptogramspercubicmeter,kg/m³,x * 0.000000000000000000000001
yg/m³,kg/m³,x * 0.000000000000000000000000001
yoctogramspercubicmeter,kg/m³,x * 0.000000000000000000000000001
t/m³,kg/m³,x * 1000
tonnespercubicmeter,kg/m³,x * 1000
lb/yd³,kg/m³,x * 1.68555
poundspercubicyard,kg/m³,x * 1.68555
oz/in³,kg/m³,x * 1729.994
ouncespercubicinch,kg/m³,x * 1729.994
oz/ft³,kg/m³,x * 1.04438
ouncespercubicfoot,kg/m³,x * 1.04438
oz/yd³,kg/m³,x * 0.037037
ouncespercubicyard,kg/m³,x * 0.037037
lb/ml,kg/m³,x * 453592.37
poundspermilliliter,kg/m³,x * 453592.37
lb/l,kg/m³,x * 453.59237
poundsperliter,kg/m³,x * 453.59237
oz/ml,kg/m³,x * 28349.523
ouncespermilliliter,kg/m³,x * 28349.523
oz/l,kg/m³,x * 28.349523
ouncesperliter,kg/m³,x * 28.349523
t/l,kg/m³,x * 1000000
tonnesperliter,kg/m³,x * 1000000
t/ml,kg/m³,x * 1000000000
tonnespermilliliter,kg/m³,x * 1000000000
kilogramspercubicmeter,kg/m³,x
j/m²,kJ/m²,x/1000
joulespersquaremeter,kJ/m²,x/1000
cal/m²,kJ/m²,x/238.8458966275
caloriespersquaremeter,kJ/m²,x/238.8458966275
kcal/m²,kJ/m²,x/0.2388458966275
kilocaloriespersquaremeter,kJ/m²,x/0.2388458966275
btu/ft²,kJ/m²,x/0.31699833062815
britishthermalunitspersquarefoot,kJ/m²,x/0.31699833062815
btu/in²,kJ/m²,x/0.000490537537618
britishthermalunitspersquareinch,kJ/m²,x/0.000490537537618
erg/cm²,kJ/m²,x/10000000
ergspersquarecentimeter,kJ/m²,x/10000000
ft·lbf/ft²,kJ/m²,x/1.3558179483314
foot-poundforcepersquarefoot,kJ/m²,x/1.3558179483314
ft·lbf/in²,kJ/m²,x/0.00094781712031335
foot-poundforcepersquareinch,kJ/m²,x/0.00094781712031335
wh/m²,kJ/m²,x/0.27777777777778
watthourspersquaremeter,kJ/m²,x/0.27777777777778
kwh/m²,kJ/m²,x/0.00027777777777778
kilowatthourspersquaremeter,kJ/m²,x/0.00027777777777778
hp·h/ft²,kJ/m²,x/0.00039301477832512
horsepowerhourpersquarefoot,kJ/m²,x/0.00039301477832512
hp·h/in²,kJ/m²,x/0.000000273789649415
horsepowerhourpersquareinch,kJ/m²,x/0.000000273789649415
therm/ft²,kJ/m²,x/0.000000293071070172
thermpersquarefoot,kJ/m²,x/0.000000293071070172
therm/in²,kJ/m²,x/0.0000000002032094303
thermpersquareinch,kJ/m²,x/0.0000000002032094303
quad/ft²,kJ/m²,x/0.000000000000293071070172
quadpersquarefoot,kJ/m²,x/0.000000000000293071070172
quad/in²,kJ/m²,x/0.0000000000000002032094303
quadpersquareinch,kJ/m²,x/0.0000000000000002032094303
joule/cm²,kJ/m²,x/10000
joulepersquarecentimeter,kJ/m²,x/10000
mj/m²,kJ/m²,x/0.001
megajoulepersquaremeter,kJ/m²,x/0.001
gj/m²,kJ/m²,x/0.000001
gigajoulepersquaremeter,kJ/m²,x/0.000001
tj/m²,kJ/m²,x/0.000000001
terajoulepersquaremeter,kJ/m²,x/0.000000001
pj/m²,kJ/m²,x/0.000000000001
petajoulepersquaremeter,kJ/m²,x/0.000000000001
ej/m²,kJ/m²,x/0.000000000000001
exajoulepersquaremeter,kJ/m²,x/0.000000000000001
zj/m²,kJ/m²,x/0.000000000000000001
zettajoulepersquaremeter,kJ/m²,x/0.000000000000000001
yj/m²,kJ/m²,x/0.000000000000000000001
yottajoulepersquaremeter,kJ/m²,x/0.000000000000000000001
cal/cm²,kJ/m²,x/23884.58966275
caloriepersquarecentimeter,kJ/m²,x/23884.58966275
kcal/cm²,kJ/m²,x/238.8458966275
kilocaloriepersquarecentimeter,kJ/m²,x/238.8458966275
btu/cm²,kJ/m²,x/0.31699833062815
britishthermalunitpersquarecentimeter,kJ/m²,x/0.31699833062815
ft·lbf/cm²,kJ/m²,x/1.3558179483314
foot-poundforcepersquarecentimeter,kJ/m²,x/1.3558179483314
wh/cm²,kJ/m²,x/0.27777777777778
watthourpersquarecentimeter,kJ/m²,x/0.27777777777778
kilojoulespersquaremeter,kJ/m²,x
l/g,ml/g,x*0.001
literspergram,ml/g,x*0.001
cl/g,ml/g,x*0.1
centiliterspergram,ml/g,x*0.1
dl/g,ml/g,x*0.01
deciliterspergram,ml/g,x*0.01
kl/g,ml/g,x*0.000001
kiloliterspergram,ml/g,x*0.000001
μl/g,ml/g,x*1000
microliterspergram,ml/g,x*1000
nl/g,ml/g,x*1000000
nanoliterspergram,ml/g,x*1000000
pl/g,ml/g,x*1000000000
picoliterspergram,ml/g,x*1000000000
fl/g,ml/g,x*1000000000000
femtoliterspergram,ml/g,x*1000000000000
al/g,ml/g,x*1000000000000000
attoliterspergram,ml/g,x*1000000000000000
zl/g,ml/g,x*1000000000000000000
zeptoliterspergram,ml/g,x*1000000000000000000
yl/g,ml/g,x*1000000000000000000000
yoctoliterspergram,ml/g,x*1000000000000000000000
mm³/g,ml/g,x*1
megacubicmillimeterspergram,ml/g,x*1
km³/g,ml/g,x*0.001
kilocubicmillimeterspergram,ml/g,x*0.001
cm³/g,ml/g,x*1
cubiccentimeterspergram,ml/g,x*1
dm³/g,ml/g,x*0.1
decicubicmillimeterspergram,ml/g,x*0.1
m³/g,ml/g,x*0.000001
cubicmeterspergram,ml/g,x*0.000001
μm³/g,ml/g,x*1000000
microcubicmillimeterspergram,ml/g,x*1000000
nm³/g,ml/g,x*1000000000
nanocubicmillimeterspergram,ml/g,x*1000000000
pm³/g,ml/g,x*1000000000000
picocubicmillimeterspergram,ml/g,x*1000000000000
fm³/g,ml/g,x*1000000000000000
femtocubicmillimeterspergram,ml/g,x*1000000000000000
am³/g,ml/g,x*1000000000000000000
attocubicmillimeterspergram,ml/g,x*1000000000000000000
zm³/g,ml/g,x*1000000000000000000000
zeptocubicmillimeterspergram,ml/g,x*1000000000000000000000
ym³/g,ml/g,x*1000000000000000000000000
yoctocubicmillimeterspergram,ml/g,x*1000000000000000000000000
floz/g,ml/g,x*0.033814
fluidouncespergram,ml/g,x*0.033814
gal/g,ml/g,x*0.000264172
gallonspergram,ml/g,x*0.000264172
qt/g,ml/g,x*0.00105669
quartspergram,ml/g,x*0.00105669
pt/g,ml/g,x*0.00211338
pintspergram,ml/g,x*0.00211338
cup/g,ml/g,x*0.00422675
cupspergram,ml/g,x*0.00422675
tbsp/g,ml/g,x*0.067628.
tablespoonspergram,ml/g,x*0.067628.
milliliterspergram,ml/g,x
m³/kg,cm³/g,x
cubicmetersperkilogram,cm³/g,x
l/kg,cm³/g,x
litersperkilogram,cm³/g,x
ml/g,cm³/g,x
milliliterspergram,cm³/g,x
ft³/lb,cm³/g,x
cubicfeetperpound,cm³/g,x
in³/lb,cm³/g,x
cubicinchesperpound,cm³/g,x
yd³/lb,cm³/g,x
cubicyardsperpound,cm³/g,x
gal(us)/lb,cm³/g,x
gallons(us)perpound,cm³/g,x
gal(uk)/lb,cm³/g,x
gallons(uk)perpound,cm³/g,x
bbl(us)/lb,cm³/g,x
barrels(us)perpound,cm³/g,x
bbl(uk)/lb,cm³/g,x
barrels(uk)perpound,cm³/g,x
floz(us)/lb,cm³/g,x
fluidounces(us)perpound,cm³/g,x
floz(uk)/lb,cm³/g,x
fluidounces(uk)perpound,cm³/g,x
pt(us)/lb,cm³/g,x
pints(us)perpound,cm³/g,x
pt(uk)/lb,cm³/g,x
pints(uk)perpound,cm³/g,x
qt(us)/lb,cm³/g,x
quarts(us)perpound,cm³/g,x
qt(uk)/lb,cm³/g,x
quarts(uk)perpound,cm³/g,x
gal(us)/oz,cm³/g,x
gallons(us)perounce,cm³/g,x
gal(uk)/oz,cm³/g,x
gallons(uk)perounce,cm³/g,x
bbl(us)/oz,cm³/g,x
barrels(us)perounce,cm³/g,x
bbl(uk)/oz,cm³/g,x
barrels(uk)perounce,cm³/g,x
floz(us)/oz,cm³/g,x
fluidounces(us)perounce,cm³/g,x
floz(uk)/oz,cm³/g,x
fluidounces(uk)perounce,cm³/g,x
pt(us)/oz,cm³/g,x
pints(us)perounce,cm³/g,x
pt(uk)/oz,cm³/g,x
pints(uk)perounce,cm³/g,x
qt(us)/oz,cm³/g,x
quarts(us)perounce,cm³/g,x
qt(uk)/oz,cm³/g,x
quarts(uk)perounce,cm³/g,x
l/oz,cm³/g,x
litersperounce,cm³/g,x
ml/oz,cm³/g,x
millilitersperounce,cm³/g,x
m³/oz,cm³/g,x
cubicmetersperounce,cm³/g,x
cubiccentimeterspergram,cm³/g,x
cm,mm,x * 10
centimeters,mm,x * 10
m,mm,x * 1000
meters,mm,x * 1000
km,mm,x * 1000000
kilometers,mm,x * 1000000
in,mm,x * 25.4
inches,mm,x * 25.4
ft,mm,x * 304.8
feet,mm,x * 304.8
yd,mm,x * 914.4
yards,mm,x * 914.4
mi,mm,x * 1609344
miles,mm,x * 1609344
nmi,mm,x * 1852000
nauticalmiles,mm,x * 1852000
å,mm,x * 0.1
angstroms,mm,x * 0.1
nm,mm,x * 0.001
nanometers,mm,x * 0.001
μm,mm,x * 0.01
micrometers,mm,x * 0.01
pm,mm,x * 0.000001
picometers,mm,x * 0.000001
fm,mm,x * 0.000000001
femtometers,mm,x * 0.000000001
au,mm,x * 1.496e+14
astronomicalunits,mm,x * 1.496e+14
ly,mm,x * 9.461e+18
lightyears,mm,x * 9.461e+18
pc,mm,x * 3.086e+19
parsecs,mm,x * 3.086e+19
mil,mm,x * 0.0254
mils,mm,x * 0.0254
thou,mm,x * 0.0254
lea,mm,x * 4828032
leagues,mm,x * 4828032
fur,mm,x * 201168
furlongs,mm,x * 201168
ch,mm,x * 20116.8
chains,mm,x * 20116.8
rd,mm,x * 5029.2
rods,mm,x * 5029.2
li,mm,x * 201.168
links,mm,x * 201.168
hand,mm,x * 101.6
hands,mm,x * 101.6
fathom,mm,x * 1828.8
fathoms,mm,x * 1828.8
cable,mm,x * 185.2
cables,mm,x * 185.2
nauticalleague,mm,x * 5556000
nauticalleagues,mm,x * 5556000
cubit,mm,x * 457.2
cubits,mm,x * 457.2
span,mm,x * 228.6
spans,mm,x * 228.6
millimeters,mm,x
mω,Ohm,x * 0.001
milliohm,Ohm,x * 0.001
kω,Ohm,x * 1000
kiloohm,Ohm,x * 1000
mω,Ohm,x * 1000000
megaohm,Ohm,x * 1000000
gω,Ohm,x * 1000000000
gigaohm,Ohm,x * 1000000000
μω,Ohm,x * 0.000001
microohm,Ohm,x * 0.000001
nω,Ohm,x * 0.000000001
nanoohm,Ohm,x * 0.000000001
pω,Ohm,x * 0.000000000001
picoohm,Ohm,x * 0.000000000001
fω,Ohm,x * 0.000000000000001
femtoohm,Ohm,x * 0.000000000000001
aω,Ohm,x * 0.000000000000000001
attoohm,Ohm,x * 0.000000000000000001
zω,Ohm,x * 0.000000000000000000001
zeptoohm,Ohm,x * 0.000000000000000000001
yω,Ohm,x * 0.000000000000000000000001
yoctoohm,Ohm,x * 0.000000000000000000000001
dω,Ohm,x * 0.1
deciohm,Ohm,x * 0.1
daω,Ohm,x * 10
dekaohm,Ohm,x * 10
hω,Ohm,x * 100
hectoohm,Ohm,x * 100
cω,Ohm,x * 0.01
centiohm,Ohm,x * 0.01
ω,Ohm,x
ohm,Ohm,x
s,Ohm,1 / x
siemens,Ohm,1 / x
ms,Ohm,1 / (x * 0.001)
millisiemens,Ohm,1 / (x * 0.001)
μs,Ohm,1 / (x * 0.000001)
microsiemens,Ohm,1 / (x * 0.000001)
ns,Ohm,1 / (x * 0.000000001)
nanosiemens,Ohm,1 / (x * 0.000000001)
ps,Ohm,1 / (x * 0.000000000001)
picosiemens,Ohm,1 / (x * 0.000000000001)
fs,Ohm,1 / (x * 0.000000000000001)
femtosiemens,Ohm,1 / (x * 0.000000000000001)
as,Ohm,1 / (x * 0.000000000000000001)
attosiemens,Ohm,1 / (x * 0.000000000000000001)
zs,Ohm,1 / (x * 0.000000000000000000001)
zeptosiemens,Ohm,1 / (x * 0.000000000000000000001)
ys,Ohm,1 / (x * 0.000000000000000000000001)
yoctosiemens,Ohm,1 / (x * 0.000000000000000000000001)
ds,Ohm,1 / (x * 0.1)
decisiemens,Ohm,1 / (x * 0.1)
das,Ohm,1 / (x * 10)
dekasiemens,Ohm,1 / (x * 10)
hs,Ohm,1 / (x * 100)
hectosiemens,Ohm,1 / (x * 100)
cs,Ohm,1 / (x * 0.01)
centisiemens,Ohm,1 / (x * 0.01)
ks,Ohm,1 / (x * 1000)
kilosiemens,Ohm,1 / (x * 1000)
ms,Ohm,1 / (x * 1000000)
megasiemens,Ohm,1 / (x * 1000000)
gs,Ohm,1 / (x * 1000000000)
gigasiemens,Ohm,1 / (x * 1000000000)
n/m,kN/m,x/1000
newtonpermeter,kN/m,x/1000
mn/m,kN/m,x*1000
meganewtonpermeter,kN/m,x*1000
gn/m,kN/m,x*1000000
giganewtonpermeter,kN/m,x*1000000
lbf/ft,kN/m,x*671.968975
pound-forceperfoot,kN/m,x*671.968975
lbf/in,kN/m,x*8071.66382
pound-forceperinch,kN/m,x*8071.66382
dyne/cm,kN/m,x*10000000
dynepercentimeter,kN/m,x*10000000
kgf/m,kN/m,x*101.971621
kilogram-forcepermeter,kN/m,x*101.971621
gf/cm,kN/m,x*10197.1621
gram-forcepercentimeter,kN/m,x*10197.1621
tonf/m,kN/m,x*0.101971621
ton-force(metric)permeter,kN/m,x*0.101971621
tonf/ft,kN/m,x*0.671968975
ton-force(short)perfoot,kN/m,x*0.671968975
kip/ft,kN/m,x*0.671968975
kipperfoot,kN/m,x*0.671968975
ozf/in,kN/m,x*129.032258
ounce-forceperinch,kN/m,x*129.032258
pdl/ft,kN/m,x*67196.8975
poundalperfoot,kN/m,x*67196.8975
pdl/in,kN/m,x*8071.66382
poundalperinch,kN/m,x*8071.66382
kgf/cm,kN/m,x*0.101971621
kilogram-forcepercentimeter,kN/m,x*0.101971621
gf/m,kN/m,x*101971.621
gram-forcepermeter,kN/m,x*101971.621
kgf/mm,kN/m,x*0.101971621
kilogram-forcepermillimeter,kN/m,x*0.101971621
gf/mm,kN/m,x*101.971621
gram-forcepermillimeter,kN/m,x*101.971621
tonf/cm,kN/m,x*0.000101971621
ton-force(metric)percentimeter,kN/m,x*0.000101971621
tonf/in,kN/m,x*0.00557611993
ton-force(short)perinch,kN/m,x*0.00557611993
kip/in,kN/m,x*0.00557611993
kipperinch,kN/m,x*0.00557611993
ozf/ft,kN/m,x*1547.58677
ounce-forceperfoot,kN/m,x*1547.58677
pdl/m,kN/m,x*67196.8975
poundalpermeter,kN/m,x*67196.8975
pdl/cm,kN/m,x*671.968975
poundalpercentimeter,kN/m,x*671.968975
kgf/ft,kN/m,x*310.728312
kilogram-forceperfoot,kN/m,x*310.728312
gf/ft,kN/m,x*310728.312
gram-forceperfoot,kN/m,x*310728.312
kgf/in,kN/m,x*25.8978428
kilogram-forceperinch,kN/m,x*25.8978428
gf/in,kN/m,x*25897.8428
gram-forceperinch,kN/m,x*25897.8428
tonf/ft,kN/m,x*0.310728312
ton-force(metric)perfoot,kN/m,x*0.310728312
kilonewtonpermeter,kN/m,x
kg/h,g/10min,x*0.006
kilogramsperhour,g/10min,x*0.006
mg/s,g/10min,x*100
milligramspersecond,g/10min,x*100
g/h,g/10min,x*6
gramsperhour,g/10min,x*6
kg/10min,g/10min,x*0.001
kilogramsper10minutes,g/10min,x*0.001
mg/10min,g/10min,x*1000
milligramsper10minutes,g/10min,x*1000
g/s,g/10min,x*0.0166667
gramspersecond,g/10min,x*0.0166667
kg/s,g/10min,x*0.0000166667
kilogramspersecond,g/10min,x*0.0000166667
mg/h,g/10min,x*6000
milligramsperhour,g/10min,x*6000
g/min,g/10min,x*0.1
gramsperminute,g/10min,x*0.1
kg/min,g/10min,x*0.0001
kilogramsperminute,g/10min,x*0.0001
mg/min,g/10min,x*100
milligramsperminute,g/10min,x*100
g/5min,g/10min,x*0.2
gramsper5minutes,g/10min,x*0.2
kg/5min,g/10min,x*0.0002
kilogramsper5minutes,g/10min,x*0.0002
mg/5min,g/10min,x*200
milligramsper5minutes,g/10min,x*200
g/15min,g/10min,x*0.0666667
gramsper15minutes,g/10min,x*0.0666667
kg/15min,g/10min,x*0.0000666667
kilogramsper15minutes,g/10min,x*0.0000666667
mg/15min,g/10min,x*66.6667
milligramsper15minutes,g/10min,x*66.6667
g/30min,g/10min,x*0.0333333
gramsper30minutes,g/10min,x*0.0333333
kg/30min,g/10min,x*0.0000333333
kilogramsper30minutes,g/10min,x*0.0000333333
mg/30min,g/10min,x*33.3333
milligramsper30minutes,g/10min,x*33.3333
g/60min,g/10min,x*0.0166667
gramsper60minutes,g/10min,x*0.0166667
kg/60min,g/10min,x*0.0000166667
kilogramsper60minutes,g/10min,x*0.0000166667
mg/60min,g/10min,x*16.6667
milligramsper60minutes,g/10min,x*16.6667
g/120min,g/10min,x*0.00833333
gramsper120minutes,g/10min,x*0.00833333
kg/120min,g/10min,x*0.00000833333
kilogramsper120minutes,g/10min,x*0.00000833333
mg/120min,g/10min,x*8.33333
milligramsper120minutes,g/10min,x*8.33333
g/180min,g/10min,x*0.00555556
gramsper180minutes,g/10min,x*0.00555556
kg/180min,g/10min,x*0.00000555556
kilogramsper180minutes,g/10min,x*0.00000555556
mg/180min,g/10min,x*5.55556
milligramsper180minutes,g/10min,x*5.55556
gramsper10minutes,g/10min,x
v/m,kV/mm,x * 1e6
voltspermeter,kV/mm,x * 1e6
mv/m,kV/mm,x * 1e3
megavoltspermeter,kV/mm,x * 1e3
gv/m,kV/mm,x * 1e-3
gigavoltspermeter,kV/mm,x * 1e-3
tv/m,kV/mm,x * 1e-6
teravoltspermeter,kV/mm,x * 1e-6
pv/m,kV/mm,x * 1e-9
petavoltspermeter,kV/mm,x * 1e-9
kv/cm,kV/mm,x * 0.1
kilovoltspercentimeter,kV/mm,x * 0.1
kv/in,kV/mm,x * 0.0393701
kilovoltsperinch,kV/mm,x * 0.0393701
kv/ft,kV/mm,x * 0.00328084
kilovoltsperfoot,kV/mm,x * 0.00328084
kv/mi,kV/mm,x * 0.000000621371
kilovoltspermile,kV/mm,x * 0.000000621371
v/mm,kV/mm,x * 1e3
voltspermillimeter,kV/mm,x * 1e3
mv/mm,kV/mm,x
megavoltspermillimeter,kV/mm,x
gv/mm,kV/mm,x * 1e-3
gigavoltspermillimeter,kV/mm,x * 1e-3
tv/mm,kV/mm,x * 1e-6
teravoltspermillimeter,kV/mm,x * 1e-6
pv/mm,kV/mm,x * 1e-9
petavoltspermillimeter,kV/mm,x * 1e-9
mv/mm,kV/mm,x * 1e6
millivoltspermillimeter,kV/mm,x * 1e6
μv/mm,kV/mm,x * 1e9
microvoltspermillimeter,kV/mm,x * 1e9
nv/mm,kV/mm,x * 1e12
nanovoltspermillimeter,kV/mm,x * 1e12
pv/mm,kV/mm,x * 1e15
picovoltspermillimeter,kV/mm,x * 1e15
fv/mm,kV/mm,x * 1e18
femtovoltspermillimeter,kV/mm,x * 1e18
av/mm,kV/mm,x * 1e21
attovoltspermillimeter,kV/mm,x * 1e21
zv/mm,kV/mm,x * 1e24
zeptovoltspermillimeter,kV/mm,x * 1e24
yv/mm,kV/mm,x * 1e27
yoctovoltspermillimeter,kV/mm,x * 1e27
kv/μm,kV/mm,x * 1e-3
kilovoltspermicrometer,kV/mm,x * 1e-3
kv/nm,kV/mm,x * 1e-6
kilovoltspernanometer,kV/mm,x * 1e-6
kv/pm,kV/mm,x * 1e-9
kilovoltsperpicometer,kV/mm,x * 1e-9
kv/fm,kV/mm,x * 1e-12
kilovoltsperfemtometer,kV/mm,x * 1e-12
kv/am,kV/mm,x * 1e-15
kilovoltsperattometer,kV/mm,x * 1e-15
kv/zm,kV/mm,x * 1e-18
kilovoltsperzeptometer,kV/mm,x * 1e-18
kv/ym,kV/mm,x * 1e-21
kilovoltsperyoctometer,kV/mm,x * 1e-21
kilovoltspermillimeter,kV/mm,x
btu/(fth°f),W/(m K),x * 1.7307
britishthermalunitsperfoothourdegreefahrenheit,W/(m K),x * 1.7307
cal/(cms°c),W/(m K),x * 418.4
caloriespercentimeterseconddegreecelsius,W/(m K),x * 418.4
cal/(ms°c),W/(m K),x * 4.184
caloriespermeterseconddegreecelsius,W/(m K),x * 4.184
btu/(ins°f),W/(m K),x * 10502
britishthermalunitsperinchseconddegreefahrenheit,W/(m K),x * 10502
btu/(inh°f),W/(m K),x * 2.918
britishthermalunitsperinchhourdegreefahrenheit,W/(m K),x * 2.918
btu/(fts°f),W/(m K),x * 315.8
britishthermalunitsperfootseconddegreefahrenheit,W/(m K),x * 315.8
cal/(cmh°c),W/(m K),x * 0.1163
caloriespercentimeterhourdegreecelsius,W/(m K),x * 0.1163
cal/(cmmin°c),W/(m K),x * 6.978
caloriespercentimeterminutedegreecelsius,W/(m K),x * 6.978
btu/(ydh°f),W/(m K),x * 0.5769
britishthermalunitsperyardhourdegreefahrenheit,W/(m K),x * 0.5769
btu/(yds°f),W/(m K),x * 207.3
britishthermalunitsperyardseconddegreefahrenheit,W/(m K),x * 207.3
btu/(mih°f),W/(m K),x * 0.0001081
britishthermalunitspermilehourdegreefahrenheit,W/(m K),x * 0.0001081
btu/(mis°f),W/(m K),x * 0.3891
britishthermalunitspermileseconddegreefahrenheit,W/(m K),x * 0.3891
cal/(mh°c),W/(m K),x * 0.001163
caloriespermeterhourdegreecelsius,W/(m K),x * 0.001163
cal/(mmin°c),W/(m K),x * 0.06978
caloriespermeterminutedegreecelsius,W/(m K),x * 0.06978
cal/(kmh°c),W/(m K),x * 1.163e-6
caloriesperkilometerhourdegreecelsius,W/(m K),x * 1.163e-6
cal/(kms°c),W/(m K),x * 0.004184
caloriesperkilometerseconddegreecelsius,W/(m K),x * 0.004184
