idx,query,property_name,property_type,value,min,max,unit,shape
180,"tensile modulus 3700 mpa, low warpage, paint can nozzle",tensile modulus,property,3700.0,3330.0,4070.0,mpa,banded (value +/- band)
196,litepol relative thermal index - mechanical impact (rti imp) (°c) of max 310°c,relative thermal index - mechanical impact (rti imp) (°c),ul_sub_property,310.0,,310.0,°c,open upper (<= max)
196,litepol relative thermal index - mechanical impact (rti imp) (°c) of max 310°c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
199,uv94 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
199,uv94 v0,flame rating,ul_sub_property,v-0,,,,exact value only
201,"lcp, melt temperature - 335°c, microwave oven",melting temperature iso 11357-1/-3 10°c/min (°c),property,335.0,301.5,368.5,°c,banded (value +/- band)
206,our company is in need of a material with tensile modulus of 3000 megapascal.,tensile modulus,property,3000.0,2700.0,3300.0,megapascal,banded (value +/- band)
211,need a grade with a hwi = plc-0,hot wire ignition (hwi),ul_sub_property,plc 0,,,,exact value only
211,need a grade with a hwi = plc-0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
215,material that is flame rating v0 in orange and with cti 600 and with good thermal shock resistance,comparative tracking index (cti),ul_property,600.0,540.0,660.0,,banded (value +/- band)
215,material that is flame rating v0 in orange and with cti 600 and with good thermal shock resistance,flame rating,ul_sub_property,v-0,,,,exact value only
215,material that is flame rating v0 in orange and with cti 600 and with good thermal shock resistance,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
220,pa6t-66 with glow wire ignition temperature at 0.3 800,glow wire ignition temperature,ul_sub_property,800.0,720.0,880.0,,banded (value +/- band)
220,pa6t-66 with glow wire ignition temperature at 0.3 800,minimum thickness (mm),ul_property,0.3,,,mm,exact value only
227,pa 6t/6i with minimum ten stress brk 880 tandelta1mhz=1261 e-4,stress at break,property,880.0,880.0,,,open lower (>= min)
227,pa 6t/6i with minimum ten stress brk 880 tandelta1mhz=1261 e-4,dissipation factor iec 62631-2-1 1mhz (e-4),property,1261.0,1134.9,1387.1,e-4,banded (value +/- band)
228,a material suitable for an auto-injector with high stiffness,tensile modulus,property,high,,,,exact value only
233,i am looking for a pom / acetal grade with a density less than 1300 kg/m^3,density iso 1183 (kg/m³),property,1300.0,,1300.0,kg/m^3,open upper (<= max)
235,mold shrinkage flow from 1.61 to 3.13 silicone,"molding shrinkage iso 294-4, 2577 parallel (%)",property,1.61,1.61,3.13,,banded (value +/- band)
251,cope clte - 230.03e-6/k tpc-et,coefficient of linear thermal expansion (clte),property,230.03,207.03,253.03,e-6/k,banded (value +/- band)
272,fa 231 v comp tracking,comparative tracking index (cti),ul_property,231.0,207.9,254.1,v,banded (value +/- band)
275,high comparative tracking index,comparative tracking index (cti),ul_property,high,,,,exact value only
276,(nobreak) impact,impact strength,property,nb,,,,exact value only
279,"thermally conductive grade, 5va",flame rating,ul_sub_property,5va,,,,exact value only
279,"thermally conductive grade, 5va",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
283,"a material with 50% glass fiber, water absorption of 2.9% , flexural modulus of 18000 mpa, and service temperature of greater than 130°c",water absorption sim. to iso 62 2mm (%),property,2.9,2.61,3.19,%,banded (value +/- band)
283,"a material with 50% glass fiber, water absorption of 2.9% , flexural modulus of 18000 mpa, and service temperature of greater than 130°c",flexural modulus,property,18000.0,16200.0,19800.0,mpa,banded (value +/- band)
283,"a material with 50% glass fiber, water absorption of 2.9% , flexural modulus of 18000 mpa, and service temperature of greater than 130°c",continuous service temperature iec 60216-1 (°c),property,130.0,130.0,,°c,open lower (>= min)
287,"pa 6,6 with elongation at break, perpendicular max 1009 mould-shrinkage, parallel lesser than 0.27%",elongation at break iso 527-1/-2 or iso 37 perpendicular (%),property,1009.0,,1009.0,,open upper (<= max)
287,"pa 6,6 with elongation at break, perpendicular max 1009 mould-shrinkage, parallel lesser than 0.27%","molding shrinkage iso 294-4, 2577 parallel (%)",property,0.27,,0.27,%,open upper (<= max)
298,hf maximum of perpendicular tensile stress at 100% strain 204 mpa; bulkdens more than or eaual to 276,tensile stress at 100% elongation iso 37 perpendicular (mpa),property,204.0,,204.0,mpa,open upper (<= max)
298,hf maximum of perpendicular tensile stress at 100% strain 204 mpa; bulkdens more than or eaual to 276,bulk density iso 60 (kg/m³),property,276.0,276.0,,,open lower (>= min)
300,bpt <=196,ball pressure test,ul_property,196.0,,196.0,,open upper (<= max)
301,"pps, charpy unnotched >= 50 kj/m2",charpy impact strength,property,50.0,50.0,,kj/m2,open lower (>= min)
302,grade with shore 60a,shore a hardness iso 48-4 / iso 868 15s,property,60.0,54.0,66.0,,banded (value +/- band)
315,cl durometer hardness (d): standard,shore d hardness iso 48-4 / iso 868 15s,property,standard,,,,exact value only
317,heat deflection temperature in the range of 200 to 270,temperature of deflection under load,property,200.0,200.0,270.0,,banded (value +/- band)
324,va good yield elongation; ac good,tensile strain at yield iso 527-1/-2 50mm/min (%),property,good,,,,exact value only
324,va good yield elongation; ac good,electric strength iec 60243-1 (kv/mm),property,good,,,,exact value only
330,pa 6t-xt 52.23 loi high density polyethylene,oxygen index iso 4589-1/-2 (%),property,52.23,47.01,57.45,,banded (value +/- band)
352,grade for dynamic weather seal with comparative tracking index (cti) plc-3,comparative tracking index (cti),ul_property,plc 3,,,,exact value only
367,zyt highvoltagearcresistantignition of plc 4,arc resistance,ul_property,plc 4,,,,exact value only
375,looking for pom with modulus 3700mpa and shrinkage of ca. 1.4% for a paint can nozzle,modulus,property,3700.0,3330.0,4070.0,mpa,banded (value +/- band)
375,looking for pom with modulus 3700mpa and shrinkage of ca. 1.4% for a paint can nozzle,molding shrinkage,property,1.4,1.2599999999999998,1.54,%,banded (value +/- band)
379,"relative permittivity = standard vr 1.99e+15ohm.m not hygroscopic glass fibre 32%, mineral 23%",volume resistivity iec 62631-3-1 (ohm.m),property,1.99e+15,1.79e+15,2.19e+15,ohm.m,banded (value +/- band)
379,"relative permittivity = standard vr 1.99e+15ohm.m not hygroscopic glass fibre 32%, mineral 23%",relative permittivity,property,standard,,,,exact value only
386,140 = charpy,charpy,property,140.0,126.0,154.0,,banded (value +/- band)
391,material with hdt - 200 °c,temperature of deflection under load,property,200.0,180.0,220.0,°c,banded (value +/- band)
393,"polybutylene terephthalate loi42.24, uv resistent",oxygen index iso 4589-1/-2 (%),property,42.24,38.02,46.46,,banded (value +/- band)
394,high voltage arc resistance to ignition: plc1,arc resistance,ul_property,plc 1,,,,exact value only
407,loi=19.52 or η=3171.53,oxygen index iso 4589-1/-2 (%),property,19.52,17.57,21.47,,banded (value +/- band)
407,loi=19.52 or η=3171.53,"intrinsic viscosity iso 307, 1628",property,3171.53,2854.38,3488.68,,banded (value +/- band)
408,find a material that is mold shrinkage normal between 1.04 and 2.28 %,"molding shrinkage iso 294-4, 2577 normal (%)",property,1.04,1.04,2.28,%,banded (value +/- band)
412,tpv with low thermal conductiviy,thermal conductivity,property,low,,,,exact value only
428,glow wire flame index 750 °c,glow wire flammability index,ul_sub_property,750.0,675.0,825.0,°c,banded (value +/- band)
428,glow wire flame index 750 °c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
431,thermoplastic elastomer for tailgate housing with flex of 8513mpa,flexural modulus,property,8513.0,7661.7,9364.3,mpa,banded (value +/- band)
435,( gf + md ) 65 shrinkage 0.3-0.5,molding shrinkage,property,0.3,0.3,0.5,,banded (value +/- band)
436,"hw ignition at 0.6mm plc 1, 5va flame class rating",hot wire ignition (hwi),ul_sub_property,plc 1,,,,exact value only
436,"hw ignition at 0.6mm plc 1, 5va flame class rating",flame rating,ul_sub_property,5va,,,,exact value only
436,"hw ignition at 0.6mm plc 1, 5va flame class rating",minimum thickness (mm),ul_property,0.6,,,mm,exact value only
463,looking for a pom gb25% modulus approx. 3700mpa,modulus,property,3700.0,3330.0,4070.0,mpa,banded (value +/- band)
470,pa 612 with mi (15.02 g/10min) 13.72 mvr,melt mass-flow rate iso 1133 (g/10min),property,15.02,13.52,16.52,g/10min,banded (value +/- band)
470,pa 612 with mi (15.02 g/10min) 13.72 mvr,melt volume-flow rate iso 1133 (cm³/10min),property,13.72,12.35,15.09,,banded (value +/- band)
471,stiffness =standard laertransparent,tensile modulus,property,standard,,,,exact value only
475,release sh a =41 polyamide 666 extrusion cable coating,shore a hardness iso 48-4 / iso 868 15s,property,41.0,36.9,45.1,,banded (value +/- band)
482,impact no break,impact strength,property,nb,,,,exact value only
497,tensile modulus 3000 mpa,tensile modulus,property,3000.0,2700.0,3300.0,mpa,banded (value +/- band)
517,hostaform density <1.3,density iso 1183 (kg/m³),property,1.3,,1.3,,open upper (<= max)
520,suggest a grade where max tensile modulus is 25000 mpa,tensile modulus,property,25000.0,,25000.0,mpa,open upper (<= max)
529,"low notched charpy impact or tensile stress at break at 50mm/min, double notch charpy impact strength: 202kj/m² around 15% variation",charpy double notched impact strength iso 21304-2 23°c (kj/m²),property,202.0,171.7,232.3,kj/m²,banded (value +/- band)
529,"low notched charpy impact or tensile stress at break at 50mm/min, double notch charpy impact strength: 202kj/m² around 15% variation",charpy notched impact strength,property,low,,,,exact value only
529,"low notched charpy impact or tensile stress at break at 50mm/min, double notch charpy impact strength: 202kj/m² around 15% variation",tensile stress at break iso 527-1/-2 50mm/min (mpa),property,low,,,,exact value only
530,coefficient of linear thermal expansion =standard and tensile notched impact strength = 225kj/m² in the range of 113-252,tensile notched impact strength iso 8256/1 23°c (kj/m²),property,225.0,113.0,252.0,kj/m²,banded (value +/- band)
530,coefficient of linear thermal expansion =standard and tensile notched impact strength = 225kj/m² in the range of 113-252,coefficient of linear thermal expansion (clte),property,standard,,,,exact value only
531,hdt > 76,temperature of deflection under load,property,76.0,76.0,,,open lower (>= min)
537,can you recommend a ipt of 2.1 with 5% range hmwpe va grade,inclined-plane tracking,ul_property,2.1,1.99,2.21,,banded (value +/- band)
539,rti imp @ 0.8 140 low ion elution,relative thermal index - mechanical impact (rti imp) (°c),ul_sub_property,140.0,126.0,154.0,,banded (value +/- band)
539,rti imp @ 0.8 140 low ion elution,minimum thickness (mm),ul_property,0.8,,,mm,exact value only
541,md long aramid fiber filler load greater than 53% water resistant average temperature of deflection under load 8.0 mpa and relative permittivity at 60hz tensile stress (break) = 303.86 mpa,stress at break,property,303.86,273.47,334.25,mpa,banded (value +/- band)
541,md long aramid fiber filler load greater than 53% water resistant average temperature of deflection under load 8.0 mpa and relative permittivity at 60hz tensile stress (break) = 303.86 mpa,temperature of deflection under load iso 75-1/-2 8 mpa (°c),property,average,,,,exact value only
541,md long aramid fiber filler load greater than 53% water resistant average temperature of deflection under load 8.0 mpa and relative permittivity at 60hz tensile stress (break) = 303.86 mpa,relative permittivity iec 62631-2-1 60hz,property,average,,,,exact value only
543,comparative tracking index plc 5,comparative tracking index (cti),ul_property,plc 5,,,,exact value only
551,customer looking for a hf grade with density below 1300kg/m3,density iso 1183 (kg/m³),property,1300.0,,1300.0,kg/m3,open upper (<= max)
554,rti str at 3.1mm 96 °c,relative thermal index - mechanical strength (rti str) (°c),ul_sub_property,96.0,86.4,105.6,°c,banded (value +/- band)
554,rti str at 3.1mm 96 °c,minimum thickness (mm),ul_property,3.1,,,mm,exact value only
555,"pa6t,6i gwf index >=569 °c",glow wire flammability index,ul_sub_property,569.0,569.0,,°c,open lower (>= min)
555,"pa6t,6i gwf index >=569 °c",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
564,search for pa with tmelt =280 minimum,melting temperature iso 11357-1/-3 10°c/min (°c),property,280.0,280.0,,,open lower (>= min)
573,strain at yield 50 mm/min (moderate) tape flex str 7.20e+08 creep resistance longss >57%,flexural strength astm d 790 tape 0° (mpa),property,7.20e+08,6.48e+08,7.92e+08,,banded (value +/- band)
573,strain at yield 50 mm/min (moderate) tape flex str 7.20e+08 creep resistance longss >57%,tensile strain at yield iso 527-1/-2 50mm/min (%),property,moderate,,,,exact value only
575,pb thermal conductive 3.82 - 6.2w/(m k); melt volume flow rate - 177.84 cm³/10min,thermal conductivity,property,3.82,3.82,6.2,w/(m k),banded (value +/- band)
575,pb thermal conductive 3.82 - 6.2w/(m k); melt volume flow rate - 177.84 cm³/10min,melt volume-flow rate iso 1133 (cm³/10min),property,177.84,160.06,195.62,cm³/10min,banded (value +/- band)
583,need material with ten mod of about 3000mpa,tensile modulus,property,3000.0,2700.0,3300.0,mpa,banded (value +/- band)
595,(no-break) charpy impact strength,charpy impact strength,property,nb,,,,exact value only
604,"looking for a nylon 10,10 sf greater than 79 with heavy = moderate",density iso 1183 (kg/m³),property,moderate,,,,exact value only
605,128 °c cut flamret,continuous service temperature iec 60216-1 (°c),property,128.0,115.2,140.8,°c,banded (value +/- band)
613,plc4 high amperage arc ignition category gs,high-current arc ignition (hai),ul_sub_property,plc 4,,,,exact value only
613,plc4 high amperage arc ignition category gs,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
617,izod impact (unnotched) nobreak,izod impact strength,property,nb,,,,exact value only
619,pa6t/xt with comparative tracking index larger than 500,comparative tracking index (cti),ul_property,500.0,500.0,,,open lower (>= min)
621,"find grade with flame rating of v0 and water absorption (equilibrium, 23 deg c, 50&% rh) of 1% and hdt at 1.8mpa of 230 deg c",water absorption sim. to iso 62 2mm (%),property,1.0,0.9,1.1,%,banded (value +/- band)
621,"find grade with flame rating of v0 and water absorption (equilibrium, 23 deg c, 50&% rh) of 1% and hdt at 1.8mpa of 230 deg c",temperature of deflection under load iso 75-1/-2 1.8 mpa (°c),property,230.0,207.0,253.0,c,banded (value +/- band)
621,"find grade with flame rating of v0 and water absorption (equilibrium, 23 deg c, 50&% rh) of 1% and hdt at 1.8mpa of 230 deg c",flame rating,ul_sub_property,v-0,,,,exact value only
621,"find grade with flame rating of v0 and water absorption (equilibrium, 23 deg c, 50&% rh) of 1% and hdt at 1.8mpa of 230 deg c",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
628,pet v-0,flame rating,ul_sub_property,v-0,,,,exact value only
628,pet v-0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
629,flammability classification=v 1,flammability classification,ul_sub_property,v-1,,,,exact value only
629,flammability classification=v 1,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
638,nylon high melt temp,melting temperature iso 11357-1/-3 10°c/min (°c),property,high,,,,exact value only
640,sebs shore 60-70,shore,property,60.0,60.0,70.0,,banded (value +/- band)
649,combined load ranging between 35 - 55 glow wire more than or eaual to 162°c,glow wire,ul_sub_property,162.0,162.0,,°c,open lower (>= min)
649,combined load ranging between 35 - 55 glow wire more than or eaual to 162°c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
650,"dtul (good), thermal conductivity of approximately 30.17, esd modified, no filler",thermal conductivity,property,30.17,27.15,33.19,,banded (value +/- band)
650,"dtul (good), thermal conductivity of approximately 30.17, esd modified, no filler",temperature of deflection under load,property,good,,,,exact value only
655,"need to identify an unfilled material with a density of 0.95, and a molecular weight of 600,000",density iso 1183 (kg/m³),property,0.95,0.855,1.045,,banded (value +/- band)
655,"need to identify an unfilled material with a density of 0.95, and a molecular weight of 600,000",average molecular weight margolies' equation (g/mol),property,600000.0,540000.0,660000.0,,banded (value +/- band)
656,"celapex grade with cut=131, and rti imp @ 2.2 180",continuous service temperature iec 60216-1 (°c),property,131.0,117.9,144.1,,banded (value +/- band)
656,"celapex grade with cut=131, and rti imp @ 2.2 180",relative thermal index - mechanical impact (rti imp) (°c),ul_sub_property,180.0,162.0,198.0,,banded (value +/- band)
656,"celapex grade with cut=131, and rti imp @ 2.2 180",minimum thickness (mm),ul_property,2.2,,,mm,exact value only
663,izod unnotched impact (no break),izod impact strength,property,nb,,,,exact value only
677,"zytel grade with tensile modulus higher than 7gpa, and tensile stress at break higher than 3.5%",tensile modulus,property,7.0,7.0,,gpa,open lower (>= min)
677,"zytel grade with tensile modulus higher than 7gpa, and tensile stress at break higher than 3.5%",stress at break,property,3.5,3.5,,%,open lower (>= min)
683,am glow wire max 210°c,glow wire,ul_sub_property,210.0,,210.0,°c,open upper (<= max)
683,am glow wire max 210°c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
687,pa 6 with low specific heat capacity of melt or ten mod,specific heat capacity of melt iso 22007-4 (j/(kg k)),property,low,,,,exact value only
687,pa 6 with low specific heat capacity of melt or ten mod,tensile modulus,property,low,,,,exact value only
698,"looking for a pa6,10 total filler load max 16 with dk at 60hz - 2.7",relative permittivity iec 62631-2-1 60hz,property,2.7,2.43,2.97,,banded (value +/- band)
700,pa6t / xt v-1 tough,flame rating,ul_sub_property,v-1,,,,exact value only
700,pa6t / xt v-1 tough,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
701,grades that have di strength of 46,dielectric strength,ul_property,46.0,41.4,50.6,,banded (value +/- band)
704,flameclass hb specification for crastin lw9020sf nc010,flammability classification,ul_sub_property,hb,,,,exact value only
704,flameclass hb specification for crastin lw9020sf nc010,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
706,"vectra low clte, graphite fibres",coefficient of linear thermal expansion (clte),property,low,,,,exact value only
728,damping behavior avpartsize more than 262µm,average particle size laser scattering d50 (µm),property,262.0,262.0,,µm,open lower (>= min)
730,"pps, flex mod >=14700mpa, dbl5420",flexural modulus,property,14700.0,14700.0,,mpa,open lower (>= min)
731,products with volumeresistivity=2.22e+16 ohm.m,volume resistivity iec 62631-3-1 (ohm.m),property,2.22e+16,2.00e+16,2.45e+16,ohm.m,banded (value +/- band)
732,294.04 glow wire @ 1.5mm specification for pp-gf40-0406 p10/10 black,glow wire,ul_sub_property,294.04,264.64,323.44,,banded (value +/- band)
732,294.04 glow wire @ 1.5mm specification for pp-gf40-0406 p10/10 black,minimum thickness (mm),ul_property,1.5,,,mm,exact value only
736,pbt gf15 v-0 heat shock ,flame rating,ul_sub_property,v-0,,,,exact value only
736,pbt gf15 v-0 heat shock ,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
746,need a grade with a flame rating class v2 1mm thick.,flame rating,ul_sub_property,v-2,,,,exact value only
746,need a grade with a flame rating class v2 1mm thick.,minimum thickness (mm),ul_property,1.0,,,mm,exact value only
755,dimensional chg 0.11 % specification for zenite 51301l,dimensional change,ul_property,0.11,0.1,0.12,%,banded (value +/- band)
756,materials that have relative thermal index mechanical impact (135),relative thermal index - mechanical impact (rti imp) (°c),ul_sub_property,135.0,121.5,148.5,,banded (value +/- band)
756,materials that have relative thermal index mechanical impact (135),minimum thickness (mm),ul_property,0.4,,,mm,exact value only
758,i am looking for a pps with a charpy unnotched bigger than 50 kj/m²,charpy impact strength,property,50.0,50.0,,kj/m²,open lower (>= min)
759,"customer is looking for a material with a shore d of 41, a tear strength of 63 kn/m and temperature of embrittlement of 652°c. application is suspension bellow.",shore d hardness iso 48-4 / iso 868 15s,property,41.0,36.9,45.1,,banded (value +/- band)
759,"customer is looking for a material with a shore d of 41, a tear strength of 63 kn/m and temperature of embrittlement of 652°c. application is suspension bellow.",tear strength iso 34-1 normal (kn/m),property,63.0,56.7,69.3,kn/m,banded (value +/- band)
759,"customer is looking for a material with a shore d of 41, a tear strength of 63 kn/m and temperature of embrittlement of 652°c. application is suspension bellow.",brittleness temperature,property,652.0,586.8,717.2,°c,banded (value +/- band)
767,ford water resistant temperature 300,continuous service temperature iec 60216-1 (°c),property,300.0,270.0,330.0,,banded (value +/- band)
772,pps with a charpy >=50kj/m2,charpy,property,50.0,50.0,,kj/m2,open lower (>= min)
774,unfilled pom with sg of 1.4 and mvr of 8.4 cm3/10 min,density iso 1183 (kg/m³),property,1.4,1.2599999999999998,1.54,,banded (value +/- band)
774,unfilled pom with sg of 1.4 and mvr of 8.4 cm3/10 min,melt volume-flow rate iso 1133 (cm³/10min),property,8.4,7.56,9.24,cm3/10 min,banded (value +/- band)
792,i need resin with cti>600 v,comparative tracking index (cti),ul_property,600.0,600.0,,v,open lower (>= min)
815,grades that have flexural performance < 38768mpa,flexural modulus,property,38768.0,,38768.0,mpa,open upper (<= max)
820,tensile = 110,tensile,property,110.0,99.0,121.00000000000001,,banded (value +/- band)
826,need a grade with a non-chlorine&non-brominematerial of compliant,non-chlorine & non-bromine material,ul_property,compliant,,,,exact value only
827,high voltage arc resist to ignition plc-4,arc resistance,ul_property,plc 4,,,,exact value only
828,pa6 with dissipation factor - 62e-4 in the range of 49-87,dissipation factor,property,62.0,49.0,87.0,e-4,banded (value +/- band)
832,"ptfe modified, pa 6t,6i, with low tape tensile modulus and flow rate",tensile modulus astm d 3039 m tape 0° (mpa),property,low,,,,exact value only
832,"ptfe modified, pa 6t,6i, with low tape tensile modulus and flow rate",melt mass-flow rate iso 1133 (g/10min),property,low,,,,exact value only
835,"the application part's thickness is about 0.75mm, need high flowability, able to withstand smt process at 265 degree and no blister, ul v0 @ 0.75mm",minimum thickness (mm),ul_property,0.75,,,mm,exact value only
835,"the application part's thickness is about 0.75mm, need high flowability, able to withstand smt process at 265 degree and no blister, ul v0 @ 0.75mm",flame rating,ul_sub_property,v-0,,,,exact value only
840,"pa 6t,xt with 1.50e+16ohm.m vr mi - 15.35 g/10min",volume resistivity iec 62631-3-1 (ohm.m),property,1.50e+16,1.35e+16,1.66e+16,ohm.m,banded (value +/- band)
840,"pa 6t,xt with 1.50e+16ohm.m vr mi - 15.35 g/10min",melt mass-flow rate iso 1133 (g/10min),property,15.35,13.81,16.89,g/10min,banded (value +/- band)
846,nc impact of nb,charpy notched impact strength,property,nb,,,,exact value only
849,looking for a wear resistant material with a modulus of compression close to 9000 and clte of 9.0e-6 for a beer machine component.,compressive modulus iso 604 (mpa),property,9000.0,8100.0,9900.0,,banded (value +/- band)
849,looking for a wear resistant material with a modulus of compression close to 9000 and clte of 9.0e-6 for a beer machine component.,coefficient of linear thermal expansion (clte),property,9.0,8.1,9.9,e-6,banded (value +/- band)
853,ip tracking of 1.73 rohs of +863-compliant,inclined-plane tracking,ul_property,1.73,1.56,1.9,,banded (value +/- band)
853,ip tracking of 1.73 rohs of +863-compliant,rohs 2011/65/eu material,ul_property,+863 compliant,,,,exact value only
854,nominal strain at break = lowest 72 total load,nominal strain at break iso 527-1/-2 (%),property,lowest,,,,exact value only
868,flameclassification 5 vb at 5mm specification for cx3300,flammability classification,ul_sub_property,5vb,,,,exact value only
868,flameclassification 5 vb at 5mm specification for cx3300,minimum thickness (mm),ul_property,5.0,,,mm,exact value only
876,maximum tensile modulus of 25000 mpa,tensile modulus,property,25000.0,,25000.0,mpa,open upper (<= max)
879,fri mfi=108.54; soft=96,melt mass-flow rate iso 1133 (g/10min),property,108.54,97.69,119.39,,banded (value +/- band)
879,fri mfi=108.54; soft=96,shore a hardness iso 48-4 / iso 868 15s,property,96.0,86.4,105.6,,banded (value +/- band)
882,high electrical properties low density,dissipation factor,property,high,,,,exact value only
882,high electrical properties low density,relative permittivity,property,high,,,,exact value only
882,high electrical properties low density,density iso 1183 (kg/m³),property,low,,,,exact value only
884,"laser transmission mw of 1191420 g/mol pa 6t,6i injmould",average molecular weight margolies' equation (g/mol),property,1191420.0,1072278.0,1310562.0,g/mol,banded (value +/- band)
891,pa rohs 2011/65/eu material=+863 compliant,rohs 2011/65/eu material,ul_property,+863 compliant,,,,exact value only
893,"eva intrvisc maximum 1422, low gloss","intrinsic viscosity iso 307, 1628",property,1422.0,,1422.0,,open upper (<= max)
899,looking for a eva aramide fibre in the range of 38 - 94 with η: 2450.62,"intrinsic viscosity iso 307, 1628",property,2450.62,2205.56,2695.68,,banded (value +/- band)
903,i want a pa grade with a melt temp >300 degc,melting temperature iso 11357-1/-3 10°c/min (°c),property,300.0,300.0,,degc,open lower (>= min)
914,looking for a sebs with an rti elec at a thickness of 0.38 mm for a cover for engine,relative thermal index - electrical (rti elec) (°c),ul_sub_property,,,,,categorical / no number
914,looking for a sebs with an rti elec at a thickness of 0.38 mm for a cover for engine,minimum thickness (mm),ul_property,0.38,,,mm,exact value only
