idx,query,n_chars,n_words,n_entities_populated,entities_populated,GRADE,APPLICATION,BRAND,POLYMER,PROPERTY,FILLER,FEATURE,PROCESSING,DELIVERY_FORM,COMPETITOR_GRADE,AUTO_CERT,RAILWAY_CERT,WATER_CERT,NSF_CERT,INDUSTRY,REGION,prop_count,filler_names,filler_total_load,prop1_name,prop1_type,prop1_value,prop1_min,prop1_max,prop1_unit
17,grade for support for conveyor belt with flame rate (v-2),57,10,3,"APPLICATION,PROPERTY,INDUSTRY",,support for conveyor belt,,,"[{""property_name"": ""flame rating"", ""modifier"": {""value"": ""v-2"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_sub_property""}, {""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""0.4"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}]",,,,,,,,,,consumer goods,,2,,,flame rating,ul_sub_property,v-2,,,
18,celson uv 90z,13,3,1,GRADE,celson uv 90z,,,,,,,,,,,,,,,,0,,,,,,,,
19,rtp 211,7,2,1,COMPETITOR_GRADE,,,,,,,,,,rtp 211,,,,,,,0,,,,,,,,
20,hostaformmt12u01eco-b grade,27,2,1,GRADE,hostaformmt12u01eco-b,,,,,,,,,,,,,,,,0,,,,,,,,
21,alternative for ecolon ny1992-bk1,33,4,1,COMPETITOR_GRADE,,,,,,,,,,ecolon ny1992-bk1,,,,,,,0,,,,,,,,
22,cnl and cfr and pellet,22,5,2,"BRAND,DELIVERY_FORM",,,celanyl,,,,,,tape | pellets,,,,,,,,0,,,,,,,,
23,nylem66gbr20 offset,19,2,1,COMPETITOR_GRADE,,,,,,,,,,nylem66gbr20,,,,,,,0,,,,,,,,
24,offset to grivory g4v-5h black 9915,35,6,1,COMPETITOR_GRADE,,,,,,,,,,grivory g4v-5h black 9915,,,,,,,0,,,,,,,,
25,trying to source a pa12 with flame rating ul 94 > v1 at 0.25 mm for ldpe,72,17,2,"POLYMER,PROPERTY",,,,pa12 | pe-ld,"[{""property_name"": ""flame rating"", ""modifier"": {""value"": ""v-1"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_sub_property""}, {""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""0.25"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,2,,,flame rating,ul_sub_property,v-1,,,
26,"pa66, heat stabilized, impact-modified",38,4,2,"POLYMER,FEATURE",,,,pa66,,,heat stabilized or stable to heat | high impact or impact modified,,,,,,,,,,0,,,,,,,,
27,material with mf,16,3,1,FILLER,,,,,,"[{""filler_name"": [""mineral""]}, {""total_load"": {""value"": null, ""min"": null, ""max"": null}}]",,,,,,,,,,,0,mineral,,,,,,,
28,alternative to emlon 66 gfr 25,30,6,1,COMPETITOR_GRADE,,,,,,,,,,emlon 66 gfr 25,,,,,,,0,,,,,,,,
29,hfc9021xaplscolored nylon 612 good sliding pelets,49,6,4,"GRADE,POLYMER,FEATURE,DELIVERY_FORM",hfc9021xaplscolored,,,pa612,,,low wear / low friction,,pellets,,,,,,,,0,,,,,,,,
30,offset for arlen ae2230,23,4,1,COMPETITOR_GRADE,,,,,,,,,,arlen ae2230,,,,,,,0,,,,,,,,
31,akromid b3 gf 40-1 black (8178),31,6,1,COMPETITOR_GRADE,,,,,,,,,,akromid b3 gf 40-1 black (8178),,,,,,,0,,,,,,,,
32,"pa6 grade with a v0 flame rating, flex mod = 10300 and thruplane thermal conductivity = 1.3",91,17,2,"POLYMER,PROPERTY",,,,pa6,"[{""property_name"": ""flexural modulus"", ""modifier"": {""value"": ""10300.0"", ""min"": ""9270.0"", ""max"": ""11330.0"", ""unit"": """"}, ""property_type"": ""property""}, {""property_name"": ""thermal conductivity iso 22007-2 through plane (w/(m k))"", ""modifier"": {""value"": ""1.3"", ""min"": ""1.17"", ""max"": ""1.43"", ""unit"": """"}, ""property_type"": ""property""}, {""property_name"": ""flame rating"", ""modifier"": {""value"": ""v-0"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_sub_property""}, {""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""0.4"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,4,,,flexural modulus,property,10300.0,9270.0,11330.0,
33,zytel htn g50,13,3,1,GRADE,zytel htn g50,,,,,,,,,,,,,,,,0,,,,,,,,
34,materials that have relative thermal index mechanical of 134 °c in the vicinity of 15%,86,15,1,PROPERTY,,,,,"[{""property_name"": ""relative thermal index - mechanical strength (rti str) (°c)"", ""modifier"": {""value"": ""134.0"", ""min"": ""113.9"", ""max"": ""154.1"", ""unit"": ""°c""}, ""property_type"": ""ul_sub_property""}, {""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""0.4"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,2,,,relative thermal index - mechanical strength (rti str) (°c),ul_sub_property,134.0,113.9,154.1,°c
35,htr 4039,8,2,1,GRADE,htr 4039,,,,,,,,,,,,,,,,0,,,,,,,,
36,novamid 1010gn2-15 nat,22,3,1,COMPETITOR_GRADE,,,,,,,,,,novamid 1010gn2-15 nat,,,,,,,0,,,,,,,,
37,zyt fgfe5171 nc010c grade,25,4,1,GRADE,zyt fgfe5171 nc010c,,,,,,,,,,,,,,,,0,,,,,,,,
38,looking for fortron fx40t1,26,4,1,GRADE,fortron fx40t1,,,,,,,,,,,,,,,,0,,,,,,,,
39,pa66 with 30%glas,17,3,2,"POLYMER,FILLER",,,,pa66,,"[{""filler_name"": [""glass fiber""]}, {""total_load"": {""value"": ""30"", ""min"": ""25"", ""max"": ""35""}}]",,,,,,,,,,,0,glass fiber,30,,,,,,
40,tecothane ar-62a,16,2,1,COMPETITOR_GRADE,,,,,,,,,,tecothane ar-62a,,,,,,,0,,,,,,,,
41,pc pbt blend,12,3,1,POLYMER,,,,pc | pbt,,,,,,,,,,,,,0,,,,,,,,
42,"get tpo material with the condition, moderate humid or flexural strain at failure, tape",87,14,2,"POLYMER,PROPERTY",,,,tpo,"[{""property_name"": ""humidity absorption sim. to iso 62 2mm (%)"", ""modifier"": {""value"": ""moderate"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""property""}, {""property_name"": ""flexural strain at failure astm d 790 tape 0° (%)"", ""modifier"": {""value"": ""moderate"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""property""}]",,,,,,,,,,,,2,,,humidity absorption sim. to iso 62 2mm (%),property,moderate,,,
43,pps unnotched charpy ≧ 50 kj/m2,31,6,2,"POLYMER,PROPERTY",,,,pps,"[{""property_name"": ""charpy impact strength"", ""modifier"": {""value"": ""50.0"", ""min"": ""50.0"", ""max"": null, ""unit"": ""kj/m2""}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,charpy impact strength,property,50.0,50.0,,kj/m2
44,polyether ether ketone grade available for nepal to use in part for a beer machine,82,15,4,"APPLICATION,POLYMER,INDUSTRY,REGION",,part for a beer machine,,peek,,,,,,,,,,,consumer goods,asia pacific,0,,,,,,,,
45,alternative to tecothane ar-75a,31,4,1,COMPETITOR_GRADE,,,,,,,,,,tecothane ar-75a,,,,,,,0,,,,,,,,
46,nylon 6-10 extrusion - wire and cable grade that is high voltage arc tracking - plc4,84,16,3,"POLYMER,PROPERTY,PROCESSING",,,,pa610,"[{""property_name"": ""high voltage arc tracking rate (hvtr)"", ""modifier"": {""value"": ""plc 4"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_property""}]",,,extrusion - wire and cable,,,,,,,,,1,,,high voltage arc tracking rate (hvtr),ul_property,plc 4,,,
47,"lubricated, mucell",18,2,2,"FEATURE,PROCESSING",,,,,,,lubricants,foam processing,,,,,,,,,0,,,,,,,,
48,alternative for soft est. 1170 tp,33,6,1,COMPETITOR_GRADE,,,,,,,,,,soft est. 1170 tp,,,,,,,0,,,,,,,,
49,rtp 207 ms,10,3,1,COMPETITOR_GRADE,,,,,,,,,,rtp 207 ms,,,,,,,0,,,,,,,,
50,kep and ktw bwgl at 60°c,24,6,2,"BRAND,WATER_CERT",,,kepital,,,,,,,,,,"[{""standard"": ""ktw bwgl"", ""temp"": [""60""]}]",,,,0,,,,,,,,
51,what is the offset to ryton r4 200,34,8,1,COMPETITOR_GRADE,,,,,,,,,,ryton r4 200,,,,,,,0,,,,,,,,
52,va keploy and high crystallinity,32,5,2,"BRAND,FEATURE",,,vandar | keploy,,,,nucleated,,,,,,,,,,0,,,,,,,,
53,pa6t/xt that has cti,20,4,2,"POLYMER,PROPERTY",,,,pa6t/xt,"[{""property_name"": ""comparative tracking index (cti)"", ""modifier"": {""value"": null, ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,1,,,comparative tracking index (cti),ul_property,,,,
54,crosslinking and ze,19,3,1,BRAND,,,zenite,,,,,,,,,,,,,,0,,,,,,,,
55,td 36carbonpowder,17,2,1,FILLER,,,,,,"[{""filler_name"": [""mineral"", ""carbon powder""]}, {""total_load"": {""value"": ""36"", ""min"": ""31"", ""max"": ""41""}}]",,,,,,,,,,,0,mineral | carbon powder,36,,,,,,
56,wellamidgf1750-n1 offset,24,2,1,COMPETITOR_GRADE,,,,,,,,,,wellamidgf1750-n1,,,,,,,0,,,,,,,,
57,injection uhmw-pe grades,24,3,1,POLYMER,,,,pe-uhmw,,,,,,,,,,,,,0,,,,,,,,
58,polyethylene cp 851,19,3,1,COMPETITOR_GRADE,,,,,,,,,,polyethylene cp 851,,,,,,,0,,,,,,,,
59,"vw group, automotive seat head cover box",40,7,3,"APPLICATION,AUTO_CERT,INDUSTRY",,automotive seat head cover box,,,,,,,,,"[{""oem"": ""vw group"", ""certs"": [""all""]}]",,,,automotive & transportation,,0,,,,,,,,
60,slovamid66 gb 30 offset,23,4,1,COMPETITOR_GRADE,,,,,,,,,,slovamid66 gb 30,,,,,,,0,,,,,,,,
61,lumid gn1001bf,14,2,1,COMPETITOR_GRADE,,,,,,,,,,lumid gn1001bf,,,,,,,0,,,,,,,,
62,gmw17249 nsf 42,15,3,2,"AUTO_CERT,NSF_CERT",,,,,,,,,,,"[{""oem"": ""general motors (gm)"", ""certs"": [""gmw17249""]}]",,,nsf 42,,,0,,,,,,,,
63,daimler mercedes-benz group dbl5562.17 nsf 372,46,6,2,"AUTO_CERT,NSF_CERT",,,,,,,,,,,"[{""oem"": ""mercedes-benz"", ""certs"": [""dbl5562.17""]}]",,,nsf 372,,,0,,,,,,,,
64,amorphous and omnitech,22,3,1,BRAND,,,omnitech,,,,,,,,,,,,,,0,,,,,,,,
65,alternative to ramtal pm1409,28,4,1,COMPETITOR_GRADE,,,,,,,,,,ramtal pm1409,,,,,,,0,,,,,,,,
66,do you offer material for passenger wagon interior components ?,63,10,2,"APPLICATION,INDUSTRY",,passenger wagon interior components,,,,,,,,,,,,,automotive & transportation,,0,,,,,,,,
67,hostaform fk 1:25,17,3,1,GRADE,hostaform fk 1:25,,,,,,,,,,,,,,,,0,,,,,,,,
68,r22 - hl2 ms220-05 type m,25,6,2,"AUTO_CERT,RAILWAY_CERT",,,,,,,,,,,"[{""oem"": ""hyundai"", ""certs"": [""ms220-05 type m""]}]","[{""standard"": ""en 45545-2"", ""hazard_level"": [""hl2""], ""req_set"": [""r22""]}]",,,,,0,,,,,,,,
69,delrinfg111dpnc010 offset,25,2,1,COMPETITOR_GRADE,,,,,,,,,,delrinfg111dpnc010,,,,,,,0,,,,,,,,
70,thermx kepital and light stabilised or stable to light,54,9,2,"BRAND,FEATURE",,,thermx | kepital,,,,light stabilized or stable to light,,,,,,,,,,0,,,,,,,,
71,materials with total load min 54,32,6,1,FILLER,,,,,,"[{""total_load"": {""value"": ""54"", ""min"": ""54"", ""max"": null}}]",,,,,,,,,,,0,,54,,,,,,
72,arnitelel591 offset,19,2,1,COMPETITOR_GRADE,,,,,,,,,,arnitelel591,,,,,,,0,,,,,,,,
73,pa with tensile modulus higher than 5gpa and elongation bigger than 4%,70,12,2,"POLYMER,PROPERTY",,,,pa*,"[{""property_name"": ""tensile modulus"", ""modifier"": {""value"": ""5.0"", ""min"": ""5.0"", ""max"": null, ""unit"": ""gpa""}, ""property_type"": ""property""}, {""property_name"": ""tensile strain"", ""modifier"": {""value"": ""4.0"", ""min"": ""4.0"", ""max"": null, ""unit"": ""%""}, ""property_type"": ""property""}]",,,,,,,,,,,,2,,,tensile modulus,property,5.0,5.0,,gpa
74,rtp 203 f,9,3,1,COMPETITOR_GRADE,,,,,,,,,,rtp 203 f,,,,,,,0,,,,,,,,
75,hytrel grade with vamac,23,4,1,BRAND,,,hytrel | vamac,,,,,,,,,,,,,,0,,,,,,,,
76,"nsf 42, ktw bwgl at 23 degree celsius, r23 - hl3, continental certifications",76,13,4,"AUTO_CERT,RAILWAY_CERT,WATER_CERT,NSF_CERT",,,,,,,,,,,"[{""oem"": ""continental"", ""certs"": [""all""]}]","[{""standard"": ""en 45545-2"", ""hazard_level"": [""hl3""], ""req_set"": [""r23""]}]","[{""standard"": ""ktw bwgl"", ""temp"": [""23""]}]",nsf 42,,,0,,,,,,,,
77,offset for stanyl te250f9,25,4,1,COMPETITOR_GRADE,,,,,,,,,,stanyl te250f9,,,,,,,0,,,,,,,,
78,"oil pan for hybrid transmission, uv stabilise, nhfr",51,8,3,"APPLICATION,FEATURE,INDUSTRY",,oil pan for hybrid transmission,,,,,u.v. stabilized or stable to weather | non-halogenated/red phosphorous free flame retardant,,,,,,,,automotive & transportation,,0,,,,,,,,
79,offset for 4mid9b22140huv,25,3,1,COMPETITOR_GRADE,,,,,,,,,,4mid9b22140huv,,,,,,,0,,,,,,,,
80,offset to pentalloy bp l5 h natural,35,7,1,COMPETITOR_GRADE,,,,,,,,,,pentalloy bp l5 h natural,,,,,,,0,,,,,,,,
81,pa6 gf30 with 20% recycling,27,5,3,"POLYMER,FILLER,FEATURE",,,,pa6,,"[{""filler_name"": [""glass fiber""]}, {""total_load"": {""value"": ""30"", ""min"": ""25"", ""max"": ""35""}}]",recycled content,,,,,,,,,,0,glass fiber,30,,,,,,
82,jm-380,6,1,1,COMPETITOR_GRADE,,,,,,,,,,jm-380,,,,,,,0,,,,,,,,
83,ferrex gpp30cs81hb natural,26,3,1,COMPETITOR_GRADE,,,,,,,,,,ferrex gpp30cs81hb natural,,,,,,,0,,,,,,,,
84,ryn gw525cs nc010 material,26,4,1,GRADE,ryn gw525cs nc010,,,,,,,,,,,,,,,,0,,,,,,,,
85,alcom ms pa66+6i/x 2040 fr,26,5,1,COMPETITOR_GRADE,,,,,,,,,,alcom ms pa66+6i/x 2040 fr,,,,,,,0,,,,,,,,
86,vypet vnt 840,13,3,1,COMPETITOR_GRADE,,,,,,,,,,vypet vnt 840,,,,,,,0,,,,,,,,
87,lubrione nn-10af/10t-2s bk703,29,3,1,COMPETITOR_GRADE,,,,,,,,,,lubrione nn-10af/10t-2s bk703,,,,,,,0,,,,,,,,
88,coolpoly e5101,14,2,1,GRADE,coolpoly e5101,,,,,,,,,,,,,,,,0,,,,,,,,
89,"sofpur, pellet size of 40 pellets/g and additives",49,8,1,BRAND,,,sofpur,,,,,,,,,,,,,,0,,,,,,,,
90,infino tk-2050lp,16,2,1,COMPETITOR_GRADE,,,,,,,,,,infino tk-2050lp,,,,,,,0,,,,,,,,
91,offset to ecolon gf2040-bk1,27,4,1,COMPETITOR_GRADE,,,,,,,,,,ecolon gf2040-bk1,,,,,,,0,,,,,,,,
92,"nylon 6t,66 and maf",19,4,1,POLYMER,,,,pa6t/66,,,,,,,,,,,,,0,,,,,,,,
93,replacement for pom delrin 100 nc010 natur,42,7,2,"POLYMER,COMPETITOR_GRADE",,,,pom,,,,,,delrin 100 nc010,,,,,,,0,,,,,,,,
94,estane zhf 95at3 tpu offset,27,5,1,COMPETITOR_GRADE,,,,,,,,,,estane zhf 95at3 tpu,,,,,,,0,,,,,,,,
95,my customer is looking for a material that has a tensile modulus of roughly 3000mpa. which grades would fit here?,113,20,1,PROPERTY,,,,,"[{""property_name"": ""tensile modulus"", ""modifier"": {""value"": ""3000.0"", ""min"": ""2700.0"", ""max"": ""3300.0"", ""unit"": ""mpa""}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,tensile modulus,property,3000.0,2700.0,3300.0,mpa
96,econamid fl 66i2 offset,23,4,1,COMPETITOR_GRADE,,,,,,,,,,econamid fl 66i2,,,,,,,0,,,,,,,,
97,eastar mn005 offset,19,3,1,COMPETITOR_GRADE,,,,,,,,,,eastar mn005,,,,,,,0,,,,,,,,
98,hostaform uv90z xap2,20,3,1,GRADE,hostaform uv90z xap2,,,,,,,,,,,,,,,,0,,,,,,,,
99,"vitaldose, matched-die moulding",31,3,2,"BRAND,PROCESSING",,,vitaldose,,,,,compression molding,,,,,,,,,0,,,,,,,,
100,ecomid,6,1,1,BRAND,,,ecomid,,,,,,,,,,,,,,0,,,,,,,,
101,imds vamac,10,2,1,BRAND,,,vamac,,,,,,,,,,,,,,0,,,,,,,,
102,looking for rynite re5231 bk533-bu,34,5,1,GRADE,rynite re5231 bk533-bu,,,,,,,,,,,,,,,,0,,,,,,,,
103,cx 3201 material,16,3,1,GRADE,cx 3201,,,,,,,,,,,,,,,,0,,,,,,,,
104,offset to plustekpa303g6bk16,28,3,1,COMPETITOR_GRADE,,,,,,,,,,plustekpa303g6bk16,,,,,,,0,,,,,,,,
105,looking for the materials for all colors meets tensile modulus of 3000mpa.,74,12,1,PROPERTY,,,,,"[{""property_name"": ""tensile modulus"", ""modifier"": {""value"": ""3000.0"", ""min"": ""2700.0"", ""max"": ""3300.0"", ""unit"": ""mpa""}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,tensile modulus,property,3000.0,2700.0,3300.0,mpa
106,looking for vitaldosek3200.x01,30,3,1,GRADE,vitaldosek3200.x01,,,,,,,,,,,,,,,,0,,,,,,,,
107,dental part,11,2,2,"APPLICATION,INDUSTRY",,dental part,,,,,,,,,,,,,medical & pharma,,0,,,,,,,,
108,lumicene mpe m 2710 ep,22,5,1,COMPETITOR_GRADE,,,,,,,,,,lumicene mpe m 2710 ep,,,,,,,0,,,,,,,,
109,rtp 103 cc hf,13,4,1,COMPETITOR_GRADE,,,,,,,,,,rtp 103 cc hf,,,,,,,0,,,,,,,,
110,material for rotomolding,24,3,1,PROCESSING,,,,,,,,rotational molding,,,,,,,,,0,,,,,,,,
111,celanyl b2 hh gf50 bk 9005/t1,29,6,1,GRADE,celanyl b2 hh gf50 bk 9005/t1,,,,,,,,,,,,,,,,0,,,,,,,,
112,technyl one j 60x1 v15 natural,30,6,1,COMPETITOR_GRADE,,,,,,,,,,technyl one j 60x1 v15 natural,,,,,,,0,,,,,,,,
113,akromid b3 gf 30 s1 la black (4446),35,8,1,COMPETITOR_GRADE,,,,,,,,,,akromid b3 gf 30 s1 la black (4446),,,,,,,0,,,,,,,,
114,lasermark glass flake,21,3,2,"FILLER,FEATURE",,,,,,"[{""filler_name"": [""glass flake""]}, {""total_load"": {""value"": null, ""min"": null, ""max"": null}}]",laser markable,,,,,,,,,,0,glass flake,,,,,,,
115,laf + metal dbl5410.00pa6gf15 daimler-benz,42,5,2,"FILLER,AUTO_CERT",,,,,,"[{""filler_name"": [""long aramid fiber"", ""metal""]}, {""total_load"": {""value"": null, ""min"": null, ""max"": null}}]",,,,,"[{""oem"": ""mercedes-benz"", ""certs"": [""dbl5410.00pa6gf15""]}]",,,,,,0,long aramid fiber | metal,,,,,,,
116,polyshine pbt d234 gf30 fr,26,5,1,COMPETITOR_GRADE,,,,,,,,,,polyshine pbt d234 gf30 fr,,,,,,,0,,,,,,,,
117,alternative for anjacom pbt 400,31,5,1,COMPETITOR_GRADE,,,,,,,,,,anjacom pbt 400,,,,,,,0,,,,,,,,
118,alternative for lnp konduit compound px10323h,45,6,1,COMPETITOR_GRADE,,,,,,,,,,lnp konduit compound px10323h,,,,,,,0,,,,,,,,
119,flexible teflon grades,22,3,1,POLYMER,,,,ptfe,,,,,,,,,,,,,0,,,,,,,,
120,zytel 70k20hsl bk284 material,29,4,1,GRADE,zytel 70k20hsl bk284,,,,,,,,,,,,,,,,0,,,,,,,,
121,r22 railway and nsf372,22,4,2,"RAILWAY_CERT,NSF_CERT",,,,,,,,,,,,"[{""standard"": ""en 45545-2"", ""hazard_level"": [""all""], ""req_set"": [""r22""]}]",,nsf 372,,,0,,,,,,,,
122,zytel htnfr,11,2,1,GRADE,zytel htnfr,,,,,,,,,,,,,,,,0,,,,,,,,
123,"65% glass fiber/mineral pps, gmw17521p-pps-gf40-type2",53,5,3,"POLYMER,FILLER,AUTO_CERT",,,,pps,,"[{""filler_name"": [""glass fiber"", ""mineral""]}, {""total_load"": {""value"": ""65"", ""min"": ""60"", ""max"": ""70""}}]",,,,,"[{""oem"": ""general motors (gm)"", ""certs"": [""gmw17521p-pps-gf40-type2""]}]",,,,,,0,glass fiber | mineral,65,,,,,,
124,structural brackets & beams for ford,36,6,3,"APPLICATION,AUTO_CERT,INDUSTRY",,structural brackets & beams,,,,,,,,,"[{""oem"": ""ford"", ""certs"": [""all""]}]",,,,automotive & transportation,,0,,,,,,,,
125,rtp 4081 a,10,3,1,COMPETITOR_GRADE,,,,,,,,,,rtp 4081 a,,,,,,,0,,,,,,,,
126,durethan bc304 000000,21,3,1,COMPETITOR_GRADE,,,,,,,,,,durethan bc304 000000,,,,,,,0,,,,,,,,
127,sofprene 540200d35/ct neutro laser transmission powder,54,6,3,"GRADE,FEATURE,DELIVERY_FORM",sofprene 540200d35/ct neutro,,,,,,laser weldable,,powder,,,,,,,,0,,,,,,,,
128,materials that have relative thermal index - mechanical strength (rti str) - 92 °c,82,14,1,PROPERTY,,,,,"[{""property_name"": ""relative thermal index - mechanical strength (rti str) (°c)"", ""modifier"": {""value"": ""92.0"", ""min"": ""82.8"", ""max"": ""101.2"", ""unit"": ""°c""}, ""property_type"": ""ul_sub_property""}, {""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""0.4"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,2,,,relative thermal index - mechanical strength (rti str) (°c),ul_sub_property,92.0,82.8,101.2,°c
129,alternative to pentamid a sk h,30,6,1,COMPETITOR_GRADE,,,,,,,,,,pentamid a sk h,,,,,,,0,,,,,,,,
130,zytel 103,9,2,1,GRADE,zytel 103,,,,,,,,,,,,,,,,0,,,,,,,,
131,need a grade with a ball pressure =166 from 133 - 236,53,12,1,PROPERTY,,,,,"[{""property_name"": ""ball pressure test"", ""modifier"": {""value"": ""166.0"", ""min"": ""133.0"", ""max"": ""236.0"", ""unit"": """"}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,1,,,ball pressure test,ul_property,166.0,133.0,236.0,
132,cn gc10,7,2,1,GRADE,cn gc10,,,,,,,,,,,,,,,,0,,,,,,,,
133,transparent medical,19,2,1,FEATURE,,,,,,,laser weldable | medical/healthcare,,,,,,,,,,0,,,,,,,,
134,bergadur pb400g/mi45u,21,2,1,COMPETITOR_GRADE,,,,,,,,,,bergadur pb400g/mi45u,,,,,,,0,,,,,,,,
135,alternative for stanyl tw376,28,4,1,COMPETITOR_GRADE,,,,,,,,,,stanyl tw376,,,,,,,0,,,,,,,,
136,estane 58212 nat 025 offset,27,5,1,COMPETITOR_GRADE,,,,,,,,,,estane 58212 nat 025,,,,,,,0,,,,,,,,
137,alternative to lupox gp2400g,28,4,1,COMPETITOR_GRADE,,,,,,,,,,lupox gp2400g,,,,,,,0,,,,,,,,
138,styrene-butadiene-styrene post consumer recycle thermo forming,62,6,3,"POLYMER,FEATURE,PROCESSING",,,,sbs,,,recycled content,thermoforming,,,,,,,,,0,,,,,,,,
139,no break izod,13,3,1,PROPERTY,,,,,"[{""property_name"": ""izod"", ""modifier"": {""value"": ""nb"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,izod,property,nb,,,
140,wskm4d665a2 or n28bn07-gf051,28,3,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""ford"", ""certs"": [""wskm4d665a2""]}, {""oem"": ""bosch"", ""certs"": [""n28bn07-gf051""]}]",,,,,,0,,,,,,,,
