idx,query,filler_names,load_value,load_min,load_max
3515,50% glass filled pa6,glass fiber,50,45,55
3542,"25% glass bead pom, shrinkage ≤1.4% ，celcon grade",glass beads,25,20,30
3545,pps gf md 65% shrinkage cti,glass fiber | mineral,65,60,70
3551,rti ele: 60°c from 42 - 82 mf filler load max 29,mineral,29,,29
3568,styrene-butadiene-styrene total load greater than 51 cf whisker esd,carbon fiber | whisker,51,51,
3569,pbt 30% glass fiber,glass fiber,30,25,35
3576,looking for a 55d hytrel that is loaded with carbon black at levels >10% up to 25%.,carbon,10,10,25
3586,"recommend lcp material that meets the following requirements (application microwave oven):, 45% reinforced, cti of plc3, mineral/glass reinforced",mineral | glass fiber,45,40,50
3592,44% pa66-6,,44,39,49
3596,glass - filled grade for tailgate protective tube housing with vw50125 cert,glass fiber,,,
3624,fiberglass and whisker nhfr tensile mod tape = medium rockwell hardness r-scale 75-131,glass fiber | whisker,,,
3642,long glass fibre,long glass fiber,,,
3651,"i want a grade with 25% glass bead filler, a mold shrinkage <1.4 and a tensile mod > 3700 that could be used in a paint can nozzle",glass beads,25,20,30
3657,gf-30 uv,glass fiber,30,25,35
3661,pa6 gf20 gb10 natural,glass fiber,20,15,25
3669,grades with gs total content at least 74,glass flake,74,74,
3673,lowest nominal break strain or coefficient of linear thermal expansion (clte) short fibre long aramid fiber,glass fiber | long aramid fiber,,,
3676,grades with filler load <42,,42,,42
3690,excellent pcr ball pressure test average and elongational stress f iso 21304-2 150/10 (mpa) in the range of 0.07-0.13mpa with combined load <58%,,58,,58
3737,a polyamide 666 with total content less than 46 long aramid fibre,long aramid fiber,46,,46
3747,cf mineral less than 32,carbon fiber | mineral,32,,32
3780,19%cnl,,19,14,24
3786,pbt long steel fiber,long metal fiber,,,
3791,"frianyl, glass fiber, dtul 230, water absorption 1",glass fiber,,,
3804,total filler load greater than 59% gb long carbon fiber coolpoly available in europe middle east africa,glass beads | long carbon fiber,59,59,
3817,"i""d like to check all grades contain gf less than 30%, v0 haogen free, cti 0class,",glass fiber,30,,30
3856,glass filled pom with fuel resistance,glass fiber,,,
3857,material with glass filled carbon fiber greater than 68,glass fiber | carbon fiber,68,68,
3868,suggest some  grade which is mineral free,unfilled,,,
3896,"vectra, glass fiber, mineral filler, fr, lead-free soldering",glass fiber | mineral,,,
3927,glass fibre pp,glass fiber,,,
3944,"unfilled, approval wss-m98p14-a7",unfilled,,,
3962,nylon 12 45%,,45,40,50
3979,material with filler load of 33 with +/-22,,33,11,55
3983,santoprene hostaform and long glass fiber 35 with range +/-10,long glass fiber,35,25,45
4004,"standard hardness, rockwell m-scale maximum temperature of deflection under load iso 75-1/-2 8 mpa (°c) 92 °c recycle total fill at least 82 organic fiber aramid fiber",natural organic fiber | aramid fiber,82,82,
4008,gs materials,glass flake,,,
4009,polyamide 66 gf30,glass fiber,30,25,35
4010,"+ 30% lgf, = gmw15890p-pp-gf30e, = automotive seat head cover box",long glass fiber,30,25,35
4016,"cnl, hyt, 32 fibreglass 11% aramid fiber",glass fiber | aramid fiber,43,38,48
4029,"oc, ecomid, long metal fiber",long metal fiber,,,
4037,fo forprene and total fill 27 - 67,,27,27,67
4047,stable to light peld long ss and long aramid fiber with 48 combined load,long metal fiber | long aramid fiber,48,43,53
4086,glass - filled zenite with 5g antenna performance,glass fiber,,,
4088,lowest tensile stress at 100% strain and effective thermal diffusivity iso 22007-4 through plane (m²/s) and no load,unfilled,,,
4137,polyamide 66/6 short fiber,glass fiber,,,
4147,"""light weight"" ""thermally conductive"" ""unfilled""",unfilled,,,
4152,"looking for a polymer, gf-15-min30 filled reinforced",glass fiber | mineral,45,40,50
4198,load >87 grades,,87,87,
4226,pa66 gf30 for glycol contact,glass fiber,30,25,35
4238,which hostaform grades are carbon filled,carbon fiber,,,
4243,i would be looking for frianyl pa66 with glass fiber for application pump in a washing machine.,glass fiber,,,
4265,grades with full load of 75% with td,mineral,75,70,80
4272,short glass pp,glass fiber,,,
4274,glass fiber filled grade with recycled content and a melt volume rate of 15cm3/10min for a tailgate protective tube housing,glass fiber,,,
4276,metal-detectable grade,metal,,,
4297,"unfilled, density - 0.950, mw 600000",unfilled,,,
4346,can you recommend a u.v. stabilized without filled pa 6-12 grade that is approved for travel restrictor for chassis,unfilled,,,
4355,charpy impact strength unnotch = lowest total fill range 28 to 48%,,28,28,48
4368,15 glass 27 long metal fiber grades,glass fiber | long metal fiber,42,37,47
4370,40% glass filled pps nsf,glass fiber,40,35,45
4375,fiber grades,glass fiber,,,
4381,"pps, carbon",carbon,,,
4388,pa 30% glass,glass fiber,30,25,35
4408,"pps, gb20, tf",glass beads,20,15,25
4416,"pps, 40% glass - filled, water pump impeller application",glass fiber,40,35,45
4468,looking for an unfilled celcon (pom) material with a notched charpy impact of 7 kj per m²,unfilled,,,
4469,short fiber polypropylene,glass fiber,,,
4471,"appearence, glass fiber,molding",glass fiber,,,
4476,materials with long aramide fibre whisker >34%,long aramid fiber | whisker,34,34,
4479,looking for pa66 shrt glass fibers,glass fiber,,,
4503,"pps, gf40.",glass fiber,40,35,45
4506,ld-pe no fill visual fx,unfilled,,,
4515,"find pps with glass fiber and mineral filled with total filler content of 65% and mold shrinkage between 0.3% and 0.5% with comparative tracking plc 4,",glass fiber | mineral,65,60,70
4523,min+gf30 ,mineral | glass fiber,30,25,35
4527,a part for a beer machine requires 25% graphite fiber content and good wear resistance. what materials can you suggest?,graphite fiber,25,20,30
4529,"gf, cd 40 (long fiber)",long glass fiber | carbon powder,40,35,45
4531,combined fill at least 98% carbon mineral in nylon 66,carbon | mineral,98,98,
4533,do you have a glass and mineral filled pps approved to gmw12345,glass fiber | mineral,,,
4542,pa6-gf20,glass fiber,20,15,25
4550,how will i know the glass-filled content in your zytel grades?,glass fiber,,,
4576,"what grades do you have that are wear resistant, have 25% graphite fiber content and could be used in a beer machine part?",graphite fiber,25,20,30
4603,highgloss total content min 40%,,40,40,
4614,gb long aramid fiber <65% ev02b,glass beads | long aramid fiber,65,,65
4636,65% filled pps requested,,65,60,70
4676,41% long fibre glass + 13% metal materials,long glass fiber | metal,54,49,59
4683,high flow 65% reinforced (gf + mineral) pps with mold shrinkage between 0.3 and 0.5%,glass fiber | mineral,65,60,70
4687,"pp with gf30, approved gmw15890p",glass fiber,30,25,35
4688,whisker total content min 78 food grade,whisker,78,78,
4690,looking for a pps gf40 with mercedes dbl5420 approval,glass fiber,40,35,45
4700,looking for a 6txt af load 51 - 85 with clte81.64,aramid fiber,51,51,85
4711,lcp and 25% filled and tribo prop.,,25,20,30
4718,lftr blueridge aramid fibre 19 whisker 13%,aramid fiber | whisker,32,27,37
4724,without filled dbl5562.aa41 tpv daimler mercedes-benz,unfilled,,,
4729,"gb, long metal fiber materials",glass beads | long metal fiber,,,
4733,"ecomid pa6 heat deflection, gf",glass fiber,,,
4740,pbt gf30 black v0,glass fiber,30,25,35
4768,pps with 40% glassfiber and low wear,glass fiber,40,35,45
4808,aramid fiber around 30% to 40%,aramid fiber,30,30,40
4815,glass reinforced am available in europe,glass fiber,,,
4818,i am searching fo a pa66 gf50 containing no halogens,glass fiber,50,45,55
4826,teflon 36%,,36,31,41
4861,food contact pbt unfilled injection moldable,unfilled,,,
4866,recommend grades that are specifically without aramid,unfilled,,,
4869,material with longssfiber / glass beads,long metal fiber | glass beads,,,
4880,list of materials which are without graphite fiber,unfilled,,,
4896,high heat performance pa 6t-xt glass flake / carbon powder,glass flake | carbon powder,,,
4919,looking for an lcp 45% gf / md,glass fiber | mineral,45,40,50
4930,total filler load in the range of 30 - 68% appearance notch izod = good average molecular weight margolies' equation (g/mol) - 1.71e+06 g/mol,,30,30,68
4942,mf long carbon fiber total fill of 21 - 71 water resistant polyamide 612,mineral | long carbon fiber,21,21,71
4945,unfilled pom with specific gravity of 1.4 and mvr 8.4 cc/10 min.,unfilled,,,
4962,material with nylon 6t/66 total filler load greater than 66 md aramidfiber,mineral | aramid fiber,66,66,
4968,looking for a thermoplastic rubber vulcanisate td + long aramid fiber with compressive stress at 1% strain = weak,mineral | long aramid fiber,,,
4989,combined fill upto 19 carbon fibre glass beads,carbon fiber | glass beads,19,,19
4993,looking for a low density polyethylene cd greater than 79 with strain yield 50 mm/min max 22.72 %,carbon powder,79,79,
5000,lcp gf30,glass fiber,30,25,35
5016,zyt 30%,,30,25,35
5099,stainless steel fiber,metal,,,
5109,"what material has a filler content of 25% , electric strength of 45, polyamide 55, glass fiber and meets renault ub22c auto spec",glass fiber,25,20,30
5159,polyamide 6-10 gr with total fill 55 with improved toughness,glass fiber,55,50,60
5160,ss fiber drug master file,metal,,,
5162,rti imp 176 1.2mm thick. mf,mineral,,,
5188,looking for a pa 66/6 lcf or long metal fiber with flow 240.18 g/10min,long carbon fiber | long metal fiber,,,
5203,"gmw16924p-pom-c2, uv, nat, unfilled",unfilled,,,
5228,stp stp and stainless steel fiber,metal,,,
5236,customer requests a 30% lgf celstran grade to use in an auto seat head cover box,long glass fiber,30,25,35
5251,"long glass fiber 26 / whisker 45 hydrostable pa 6t,6i",long glass fiber | whisker,71,66,76
5278,hdpe total content less than 80% gr,glass fiber,80,,80
5290,mf relative thermal index @ 3.5 75 °c,mineral,,,
5309,pa666gf15,glass fiber,15,10,20
5324,unfilled pom with specific gravity of 1.4 and mvr of 8.4,unfilled,,,
5361,"unfilled grade with v0 rating, flex mod = 10300 mpa, and k = 1.3 w/m/k",unfilled,,,
5366,what grades of unfilled celcon are wear resistant,unfilled,,,
5382,plating grade copolyester gs >64%,glass flake,64,64,
5396,pa66 gf30 blow molding,glass fiber,30,25,35
5431,nylon 10-10 cf longaramidfiber load with range of 54 - 76% with medgrade,carbon fiber | long aramid fiber,54,54,76
5433,sp factor combined load of 23,,23,18,28
5451,thermoplastic copolyester ss mineral greater than 83 with silicon oil concentrate,metal | mineral,83,83,
5456,pps gf+mineral 65% black,glass fiber | mineral,65,60,70
5498,"pa 66 unfilled, impact modified, recycle, black",unfilled,,,
5512,min+gf 40,mineral | glass fiber,40,35,45
5516,combined load >76 crush test,,76,76,
5546,which fiber filled grades meet the vw50125 standard?,glass fiber,,,
5557,"what pe materials are unfilled, have molecular weight of about 600,000 and a particle size of 120?",unfilled,,,
5582,pp lgf 30 recycled,long glass fiber,30,25,35
5612,combined load 25 - 41%,,25,25,41
5614,cpn 2125 ms 50017 cft total content 37 with 24 range,long glass fiber,37,13,61
5623,41%opp,,41,36,46
