idx,query,filler_names,load_value,load_min,load_max
146,"i""d like to check all grades contain gf less than 30%, v0 haogen free, cti 0class,",glass fiber,,,30
156,unfilled high impact,unfilled,,,
158,pa6 30 glas fibre recycle content,glass fiber,30,25,35
162,hostaform with low wear and friction properties without glass fiber and ptfe free,unfilled,,,
165,pa6 30% glas fibre recycled content,glass fiber,30,25,35
166,polyamide glass reinforced with good hydrolysis resistance,glass fiber,,,
167,"pps grade with highest tensile modulus, at the same time exclude long glass fiber",unfilled,,,
189,unreinforced flame retardant pa66,unfilled,,,
190,pps  gf60,glass fiber,60,55,65
195,"pa66 unfilled, heat stabilized",unfilled,,,
198,pbt gf30 with fr,glass fiber,30,25,35
201,can you recommend a uv resistant long fiber reinforced pp grade that is approved for auto interior,long glass fiber,,,
205,food contact pbt unfilled injection moldable,unfilled,,,
207,pa66 unreinforced,unfilled,,,
209,pa6 30 glas fibre,glass fiber,30,25,35
211,material with glass fibers,glass fiber,,,
230,a pa66 gf30 for radator end tank,glass fiber,30,25,35
255,zytel g30,glass fiber,30,25,35
263,pa66 with glas fibre 50%,glass fiber,50,45,55
269,pa610 cf,carbon fiber,,,
274,glass filled toughened nylon,glass fiber,,,
293,40% glass reinforced pa66,glass fiber,40,35,45
296,uv resistant long glass fiber,long glass fiber,,,
298,pa6 gf35,glass fiber,35,30,40
299,40% glass reinforced ppa,glass fiber,40,35,45
300,"pbt, unfilled",unfilled,,,
303,ppa-gf33,glass fiber,33,28,38
309,looking for a ppa gf30 with rti 150,glass fiber,30,25,35
311,glass fiber max filler 90%,glass fiber,,,90
313,pbt 25% gf,glass fiber,25,20,30
319,can you recommend a carbon fiber reinforced ud tape for use in composite piping applications,carbon fiber,,,
325,pa6 gf30 with 20% recycling,glass fiber,30,25,35
329,a pom with 20% glass beads,glass beads,20,15,25
334,"appearence, glass fiber,molding",glass fiber,,,
340,"pbt, 15% gf, flame retardant",glass fiber,15,10,20
341,short fiber polypropylene,glass fiber,,,
342,looking for a 55d hytrel that is loaded with carbon black at levels >10% up to 25%.,carbon,,10,25
346,"pa612
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ 20% filler: stainless steel (powder or threads, therefore magnetic)
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ mfi ~25g/10min (250ÃƒÂ¢Ã‚Â°c, 2.16kg)
ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ food contact approved",metal,20,15,25
354,what a htn with 35% glass fibr,glass fiber,35,30,40
360,nylon 612 30%gf,glass fiber,30,25,35
362,metal-detectable grade,metal,,,
363,mineral filled pa66,mineral,,,
379,pbt+30%gf,glass fiber,30,25,35
381,zytel pa66 unreinforced,unfilled,,,
387,stainless steel fiber,metal,,,
391,pa66gf30 halogen free,glass fiber,30,25,35
396,pbt long steel fiber,long metal fiber,,,
399,unfilled injection molding food grade pbt,unfilled,,,
400,pa 6/6 30 percent  glass filled flame retardant,glass fiber,30,25,35
402,fiber grades,glass fiber,,,
413,"i""d like to check all grades contain gf less than 30%, v0 haogen free, cti 0class,",glass fiber,,,30
423,unfilled high impact,unfilled,,,
425,pa6 30 glas fibre recycle content,glass fiber,30,25,35
429,hostaform with low wear and friction properties without glass fiber and ptfe free,unfilled,,,
432,pa6 30% glas fibre recycled content,glass fiber,30,25,35
433,polyamide glass reinforced with good hydrolysis resistance,glass fiber,,,
434,"pps grade with highest tensile modulus, at the same time exclude long glass fiber",unfilled,,,
456,unreinforced flame retardant pa66,unfilled,,,
457,pps  gf60,glass fiber,60,55,65
462,"pa66 unfilled, heat stabilized",unfilled,,,
465,pbt gf30 with fr,glass fiber,30,25,35
468,can you recommend a uv resistant long fiber reinforced pp grade that is approved for auto interior,long glass fiber,,,
472,food contact pbt unfilled injection moldable,unfilled,,,
474,pa66 unreinforced,unfilled,,,
476,pa6 30 glas fibre,glass fiber,30,25,35
478,material with glass fibers,glass fiber,,,
497,a pa66 gf30 for radator end tank,glass fiber,30,25,35
522,zytel g30,glass fiber,30,25,35
530,pa66 with glas fibre 50%,glass fiber,50,45,55
535,pa6-cf passion ratio and stress-strain curves,carbon fiber,,,
536,glass filled pom with fuel resistance,glass fiber,,,
545,"glass filled pom with fuel resistance""",glass fiber,,,
547,peek with carbon fiber,carbon fiber,,,
560,food contact unfilled pps,unfilled,,,
570,pa6-cf passion ratio and stress-strain curves,carbon fiber,,,
571,glass filled pom with fuel resistance,glass fiber,,,
580,"glass filled pom with fuel resistance""",glass fiber,,,
582,peek with carbon fiber,carbon fiber,,,
595,food contact unfilled pps,unfilled,,,
613,pa6 gf flame retardant 5va,glass fiber,,,
622,pa46 with gf50,glass fiber,50,45,55
624,pa66 gf30 for glycol contact,glass fiber,30,25,35
639,pa6 gf flame retardant 5va,glass fiber,,,
648,pa46 with gf50,glass fiber,50,45,55
650,pa66 gf30 for glycol contact,glass fiber,30,25,35
685,"need an glass filled, heat resistant lcpa ",glass fiber,,,
696,pbt with 20-30% glass v0,glass fiber,,20,30
712,pom gf,glass fiber,,,
715,pbt gf eco-r,glass fiber,,,
729,fr halogen free pa6 gf25,glass fiber,25,20,30
737,glass fiber,glass fiber,,,
742,pa66 gf35,glass fiber,35,30,40
755,pa66+33%gf,glass fiber,33,28,38
759,cs pp gf60,long glass fiber,60,55,65
762,pa6-gf20,glass fiber,20,15,25
778,carbon fiber pa grade,carbon fiber,,,
779,pa carbon fiber v0,carbon fiber,,,
800,40% glass filled pps nsf,glass fiber,40,35,45
838,30% glass filled pbt with food contact approval,glass fiber,30,25,35
840,pa66 with 30% glass,glass fiber,30,25,35
841,pa66 with 30%glas,glass fiber,30,25,35
849,fortronÃƒÂ¢Ã‚Â® 30% glass filled,glass fiber,30,25,35
857,nylon 6 with 30% glass for visible interior parts,glass fiber,30,25,35
859,pa6 with 30% glass for visible interior parts,glass fiber,30,25,35
877,lcp gf30,glass fiber,30,25,35
878,pom long glass fiber,long glass fiber,,,
879,pp-gf30 short glass compound for auto coolant application,glass fiber,30,25,35
881,pbt 30% glass fiber,glass fiber,30,25,35
901,pehd-gf40,glass fiber,40,35,45
928,ppa gf30 ul94 v0,glass fiber,30,25,35
944,unreinforced zytel with fmvss,unfilled,,,
954,pp+40%gf,glass fiber,40,35,45
955,pom gf30,glass fiber,30,25,35
956,pps with 40% glass low wear,glass fiber,40,35,45
957,pps with 40% glass iber and low wear,glass fiber,40,35,45
958,pps with 40% glassfiber and low wear,glass fiber,40,35,45
959,pa66gf30,glass fiber,30,25,35
960,pa66g30,glass fiber,30,25,35
961,pps gf40 improved tribo,glass fiber,40,35,45
962,pa 66 unfilled,unfilled,,,
1043,glass fiber filled material for oil pan,glass fiber,,,
1086,"need an glass filled, heat resistant lcpa ",glass fiber,,,
1097,pbt with 20-30% glass v0,glass fiber,,20,30
1113,pom gf,glass fiber,,,
1116,pbt gf eco-r,glass fiber,,,
1130,fr halogen free pa6 gf25,glass fiber,25,20,30
1138,glass fiber,glass fiber,,,
1143,pa66 gf35,glass fiber,35,30,40
1156,pa66+33%gf,glass fiber,33,28,38
1160,cs pp gf60,long glass fiber,60,55,65
1163,pa6-gf20,glass fiber,20,15,25
1179,carbon fiber pa grade,carbon fiber,,,
1180,pa carbon fiber v0,carbon fiber,,,
1201,40% glass filled pps nsf,glass fiber,40,35,45
1239,30% glass filled pbt with food contact approval,glass fiber,30,25,35
1241,pa66 with 30% glass,glass fiber,30,25,35
1242,pa66 with 30%glas,glass fiber,30,25,35
1250,fortronÃƒÂ¢Ã‚Â® 30% glass filled,glass fiber,30,25,35
1258,nylon 6 with 30% glass for visible interior parts,glass fiber,30,25,35
1260,pa6 with 30% glass for visible interior parts,glass fiber,30,25,35
1278,lcp gf30,glass fiber,30,25,35
1279,pom long glass fiber,long glass fiber,,,
1280,pp-gf30 short glass compound for auto coolant application,glass fiber,30,25,35
1282,pbt 30% glass fiber,glass fiber,30,25,35
1302,pehd-gf40,glass fiber,40,35,45
1329,ppa gf30 ul94 v0,glass fiber,30,25,35
1345,unreinforced zytel with fmvss,unfilled,,,
1355,pp+40%gf,glass fiber,40,35,45
1356,pom gf30,glass fiber,30,25,35
1357,pps with 40% glass low wear,glass fiber,40,35,45
1358,pps with 40% glass iber and low wear,glass fiber,40,35,45
1359,pps with 40% glassfiber and low wear,glass fiber,40,35,45
1360,pa66gf30,glass fiber,30,25,35
1361,pa66g30,glass fiber,30,25,35
1362,pps gf40 improved tribo,glass fiber,40,35,45
1363,pa 66 unfilled,unfilled,,,
1444,glass fiber filled material for oil pan,glass fiber,,,
1463,aramide 30% and mf 15%,aramid fiber | mineral,45,40,50
1464,aramide 25% and mf 10%,aramid fiber | mineral,35,30,40
1498,glass fiber 35,glass fiber,35,30,40
1499,"gf, min with combined load of 40",glass fiber | mineral,40,35,45
1500,glass fiber and mineral with total filler load of 60,glass fiber | mineral,60,55,65
1501,min 20,mineral,20,15,25
1502,"gf20, min30",glass fiber | mineral,50,45,55
1503,total load of 60 with gf and min,glass fiber | mineral,60,55,65
1504,filled with glass and also contains mineral fiber with combined load = 70,glass fiber | mineral,70,65,75
1505,contains gf+min reinforced 35%,glass fiber | mineral,35,30,40
1506,gf-15% and min-20 reinforced,glass fiber | mineral,35,30,40
1507,carbon20 & min20,carbon fiber | mineral,40,35,45
1508,combined load of 35% having glass/min filler,glass fiber | mineral,35,30,40
1509,glass60/ptfe filled,glass fiber,60,55,65
1510,"material with long glass fiber, with 30% filled and carbon fiber with 15%",long glass fiber | carbon fiber,45,40,50
1511,glass filler >30%,glass fiber,,30,
1512,more than 20% of glass fiber,glass fiber,,20,
1513,glass fiber less than 60%,glass fiber,,,60
1514,glass fiber ranging 30-60,glass fiber,,30,60
1515,glass fiber within range of 20 to 40,glass fiber,,20,40
1516,glass fiber 30 with mineral 20,glass fiber | mineral,50,45,55
1517,aramid fiber around 30% to 40%,aramid fiber,,30,40
1518,carbon fiber should not be greater than 40% filler load,carbon fiber,,,40
1519,30%-40% reinforced material that contains long glass fiber,long glass fiber,,30,40
1520,more than 50% filler content,,,50,
1521,less than 50% glass fiber filler content,glass fiber,,,50
1522,"long glass fiber reinforced, more than 30% reinforced",long glass fiber,,30,
1523,balanced ratio of 15% to 20% of carbon fiber,carbon fiber,,15,20
1524,glass+min filler content between 30% and 40%,glass fiber | mineral,,30,40
1525,"chemical resistant grade with  glass fiber -20%, mineral -20%",glass fiber | mineral,40,35,45
1526,glass -15 and mineral -25,glass fiber | mineral,40,35,45
1564,15min,mineral,15,10,20
1565,need 15min,mineral,15,10,20
1566,looking for min30,mineral,30,25,35
1567,need a material with 15min,mineral,15,10,20
1568,suggest filler like min15,mineral,15,10,20
1569,looking for min20,mineral,20,15,25
1570,"show me pa grades, 15min reinforced",mineral,15,10,20
1571,looking for 15min filler content polymer pa,mineral,15,10,20
1572,suggest polymer pa having 15%min filler reinforced,mineral,15,10,20
1573,15min with pa,mineral,15,10,20
1574,pa with 15min,mineral,15,10,20
1600,gf15-min30,glass fiber | mineral,45,40,50
1601,a grade with filler content gf15-min30 is required,glass fiber | mineral,45,40,50
1602,grade needs to have gf15-min30 reinforced material,glass fiber | mineral,45,40,50
1603,gf15-min30 filler content,glass fiber | mineral,45,40,50
1604,find a grade having min30-gf15 filler,glass fiber | mineral,45,40,50
1605,a filler with min30-gf15 is required,glass fiber | mineral,45,40,50
1606,"looking for a polymer, gf-15-min30 filled reinforced",glass fiber | mineral,45,40,50
1634,lft grade with glass 50%,long glass fiber,50,45,55
1635,looking for lft grades and glass 50,long glass fiber,50,45,55
1636,glass 50 lft materials,long glass fiber,50,45,55
1637,glass 50 lft,long glass fiber,50,45,55
1638,lfrt grade with glass 50,long glass fiber,50,45,55
1639,looking for lfrt grades and glass 50%,long glass fiber,50,45,55
1640,glass 50% lfrt materials,long glass fiber,50,45,55
1641,glass 50 lfrt,long glass fiber,50,45,55
1642,lft grade with gf 50,long glass fiber,50,45,55
1643,looking for lft grades and glass fiber 50,long glass fiber,50,45,55
1644,gf 50 lft materials,long glass fiber,50,45,55
1645,glass fiber 50 lft,long glass fiber,50,45,55
1646,lfrt grade with gf 50,long glass fiber,50,45,55
1647,looking for lfrt grades and glass fiber 50,long glass fiber,50,45,55
1648,gf50% lfrt materials,long glass fiber,50,45,55
1649,glassfiber 50 lfrt,long glass fiber,50,45,55
1656,"unfilled, impact",unfilled,,,
1663,unfilled and high impact,unfilled,,,
1671,unfilled and impact of 100,unfilled,,,
1687,"v1, unfilled, thermally conductive",unfilled,,,
1688,"need a material with rating v1, unfilled, thermally conductive",unfilled,,,
1689,"show grades which is thermally conductive,  v1 and unfilled",unfilled,,,
1690,"material which is unfilled, v1, thermally conductive",unfilled,,,
1691,"looking for thermally conductive grade, v1, unfilled ",unfilled,,,
1697,glass-min 65%,glass fiber | mineral,65,60,70
1698,glass-min total filler load 65%,glass fiber | mineral,65,60,70
1699,glass-min with 65% filler content,glass fiber | mineral,65,60,70
1700,looking for glass-min filler reinforced with 65%,glass fiber | mineral,65,60,70
1701,require glass-min filler having  65% as total reinforcement,glass fiber | mineral,65,60,70
1702,suggest glass and mineral filler where the load is 65,glass fiber | mineral,65,60,70
1713,mineral free grade,unfilled,,,
1714,looking for a grade that does not contain mineral,unfilled,,,
1715,suggest some  grade which is mineral free,unfilled,,,
1716,grade that excludes mineral filler,unfilled,,,
1717,find a grade without mineral filler,unfilled,,,
1718,recommend grades that are free from glass fiber,unfilled,,,
1719,seeking glass-free grade suggestion,unfilled,,,
1720,looking for glass free alternatives,unfilled,,,
1721,show grades that are without glass,unfilled,,,
1722,recommend grades that are specifically without glass fiber,unfilled,,,
1723,crabon free grade,unfilled,,,
1724,find grades without carbon fiber filler,unfilled,,,
1725,looking for a grade that does not contain carbon fiber,unfilled,,,
1726,recommend grades that are carbon fiber free,unfilled,,,
1728,graphite-free grades,unfilled,,,
1729,show me grades that are free from graphite,unfilled,,,
1730,looking for graphite fiber free grades,unfilled,,,
1731,list of materials which are without graphite fiber,unfilled,,,
1732,does not contain any graphite fiber filler,unfilled,,,
1733,recommend grades that are free from aramid fiber,unfilled,,,
1734,seeking aramid-free grade suggestion,unfilled,,,
1735,looking for aramid filler free alternatives,unfilled,,,
1736,show grades that are without aramid fiber,unfilled,,,
1737,recommend grades that are specifically without aramid,unfilled,,,
1738,looking for a glass/mineral free  grade,unfilled,,,
1739,suggest some glass-mineral free grade,unfilled,,,
1740,material which is glass & mineral free,unfilled,,,
1741,grade that does not contain glass and mineral,unfilled,,,
1742,searching for a grade that is mineral-glass free,unfilled,,,
1767,pa 6 gf 30 v0 fr impact uv ,glass fiber,30,25,35
1768,pa 6 gf 30 v0 fr impact modified uv ,glass fiber,30,25,35
1769,pa 6 gf 30 0.8mm v1 fr uv impact ,glass fiber,30,25,35
1770,"suggest some pa 6 polymer grade 30% filled gf, impact modified, uv and fr v1 at 0.8mm",glass fiber,30,25,35
1771,fiber,glass fiber,,,
1772,looking for a fiber filler,glass fiber,,,
1773,search for fibers,glass fiber,,,
1774,suggest fiber grades,glass fiber,,,
1795,lft40,long glass fiber,40,35,45
1796,suggest lft 40 filler materials,long glass fiber,40,35,45
1797,40lft filler grades,long glass fiber,40,35,45
1798,search lft40%,long glass fiber,40,35,45
1799,lfrt40,long glass fiber,40,35,45
1800,looking for lfrt 40%,long glass fiber,40,35,45
1801,40lfrt grades,long glass fiber,40,35,45
1802,show grades having 40% lfrt,long glass fiber,40,35,45
1812,gf with amorphous properties,glass fiber,,,
1821,suggest zytel grades having 30% gf which is also electric friendly,glass fiber,30,25,35
1825,looking for gf with iec 60243 properties,glass fiber,,,
1832,mineral 50%gf impact modifier battery electric performance,mineral | glass fiber,50,45,55
1834,lcp with carbon fiber with surface resistivity of 10e5,carbon fiber,,,
1835,lft approved to a stellantis specification,long glass fiber,,,
1838,pbt gf15 v-0 heat shock ,glass fiber,15,10,20
1850,gf and min 20,glass fiber | mineral,20,15,25
1851,gf min20,glass fiber | mineral,20,15,25
1852,gf and mf20,glass fiber | mineral,20,15,25
1853,gf & min 20,glass fiber | mineral,20,15,25
1854,"glass, min 20",glass fiber | mineral,20,15,25
1855,glass or min20,glass fiber | mineral,20,15,25
1856,gf (long fiber) and cd 40,long glass fiber | carbon powder,40,35,45
1857,gf and cd 40 (long fiber),long glass fiber | carbon powder,40,35,45
1858,gf / cd 40  long fiber,long glass fiber | carbon powder,40,35,45
1859,long fiber gf and cd 40,long glass fiber | carbon powder,40,35,45
1860,gf - long fiber cd 40,long glass fiber | carbon powder,40,35,45
1861,"gf, cd 40 (long fiber)",long glass fiber | carbon powder,40,35,45
1862,gf cd40  (long fiber),long glass fiber | carbon powder,40,35,45
1863,gf cd40 (long),long glass fiber | carbon powder,40,35,45
1864,lgf cd40,long glass fiber | carbon powder,40,35,45
1865,lgf and cd40,long glass fiber | carbon powder,40,35,45
2108,g35,glass fiber,35,30,40
2109,g and min with combined load of 40,glass fiber | mineral,40,35,45
2110,g/mineral with total filler load of 60,glass fiber | mineral,60,55,65
2111,"g20, min30",glass fiber | mineral,50,45,55
2112,total load of 60 with g and min,glass fiber | mineral,60,55,65
2113,g20 and min30,glass fiber | mineral,50,45,55
2114,g and min50,glass fiber | mineral,50,45,55
2115,g50 and min,glass fiber | mineral,50,45,55
2116,gf30 (long fiber) and cd,long glass fiber | carbon powder,30,25,35
2117,gf-30 and cd (long fiber),long glass fiber | carbon powder,30,25,35
2118,"gf / cd 30,  long fiber",long glass fiber | carbon powder,30,25,35
2119,long fiber gf and cd 30,long glass fiber | carbon powder,30,25,35
2120,gf - long fiber cd 30,long glass fiber | carbon powder,30,25,35
2121,"gf30, cd (long fiber)",long glass fiber | carbon powder,30,25,35
2122,gf30 cd  (long fiber),long glass fiber | carbon powder,30,25,35
2123,pom-gf10 long fiber,long glass fiber,10,5,15
2124,pom gf10 (type: long fiber),long glass fiber,10,5,15
2125,pom-gf10 it should be long fiber),long glass fiber,10,5,15
2126,tpv-gf10 long fiber,long glass fiber,10,5,15
2127,tpv gf10 long fiber,long glass fiber,10,5,15
2128,gf10 tpv long fiber,long glass fiber,10,5,15
2185,aramide 10% mf 15%,aramid fiber | mineral,25,20,30
2186,mf 15% aramide 20%,mineral | aramid fiber,35,30,40
2187,aramide 20% and cf 15%,aramid fiber | carbon fiber,35,30,40
2188,cf 15% and aramide 10%,carbon fiber | aramid fiber,25,20,30
2189,"aramide 10%, gb 10%",aramid fiber | glass beads,20,15,25
2190,"gb 20%,  aramide 25%",glass beads | aramid fiber,45,40,50
2452,"akroloy carbon fiber 40, pa6",carbon fiber,40,35,45
2453,akroloy carbon fiber pa6 material,carbon fiber,,,
2454,akroloy carbon fiber pa6 alternative,carbon fiber,,,
2455,akroloy + carbon fiber + pa6,carbon fiber,,,
2456,akroloy carbon fiber pa6,carbon fiber,,,
2482,min filled,mineral,,,
2483,filler min,mineral,,,
2484,min30,mineral,30,25,35
2485,20min,mineral,20,15,25
2486,min15,mineral,15,10,20
2487,10min,mineral,10,5,15
2488,min+gf 40,mineral | glass fiber,40,35,45
2489,min+gf30 ,mineral | glass fiber,30,25,35
2490,25 min+gf,mineral | glass fiber,25,20,30
2491,20min+gf,mineral | glass fiber,20,15,25
3170,eva 10%,,10,5,15
3171,eva carbon,carbon,,,
3172,carbon eva,carbon,,,
3173,"pps, carbon",carbon,,,
3174,carbon pps,carbon,,,
3175,pps and carbon,carbon,,,
3185,gf30 tf,glass fiber,30,25,35
3201,pps 15%,,15,10,20
3202,pom 30%,,30,25,35
3203,pa66 25%,,25,20,30
3204,10% pet,,10,5,15
3205,22% pp,,22,17,27
3206,35% abs,,35,30,40
3207,nylon 15%,,15,10,20
3208,abistir 15%,,15,10,20
3209,bf 30%,,30,25,35
3210,cnl 25%,,25,20,30
3211,10% elvamide,,10,5,15
3212,22% geolast,,22,17,27
3213,35% omnicarb,,35,30,40
3214,sofprene 15%,,15,10,20
3215,ve 25%,,25,20,30
3216,zyt 30%,,30,25,35
3217,abistir 15% pom,,15,10,20
3218,bf 30% pet,,30,25,35
3219,cnl 25% tpv,,25,20,30
3220,pehmw 10% elvamide,,10,5,15
3221,pa610 22% geolast,,22,17,27
3222,pa6t 35% omnicarb,,35,30,40
3223,sofprene 15% lcp,,15,10,20
3224,ve 25% pbt,,25,20,30
3225,zyt 30% tpu,,30,25,35
3229,pbt lw gf30-v1,glass fiber,30,25,35
3230,pps lw gf30-v2,glass fiber,30,25,35
3254,pps 15%,,15,10,20
3255,pom 30%,,30,25,35
3256,pa66 25%,,25,20,30
3257,10% pet,,10,5,15
3258,22% pp,,22,17,27
3259,35% abs,,35,30,40
3260,nylon 15%,,15,10,20
3261,abistir 15%,,15,10,20
3262,bf 30%,,30,25,35
3263,cnl 25%,,25,20,30
3264,10% elvamide,,10,5,15
3265,22% geolast,,22,17,27
3266,35% omnicarb,,35,30,40
3267,sofprene 15%,,15,10,20
3268,ve 25%,,25,20,30
3269,zyt 30%,,30,25,35
3270,abistir 15% pom,,15,10,20
3271,bf 30% pet,,30,25,35
3272,cnl 25% tpv,,25,20,30
3273,pehmw 10% elvamide,,10,5,15
3274,pa610 22% geolast,,22,17,27
3275,pa6t 35% omnicarb,,35,30,40
3276,sofprene 15% lcp,,15,10,20
3277,ve 25% pbt,,25,20,30
3278,zyt 30% tpu,,30,25,35
3291,pa66gf30,glass fiber,30,25,35
3292,pa6 gf30,glass fiber,30,25,35
3293,pa666gf15,glass fiber,15,10,20
3294,pa6t gf40,glass fiber,40,35,45
3295,pa6tgf30,glass fiber,30,25,35
3296,pa6t/xtgf10,glass fiber,10,5,15
3297,pa6t/xt gf20,glass fiber,20,15,25
3298,pom/mf30,mineral,30,25,35
3299,ppscd10,carbon powder,10,5,15
3300,pa66lgf20,long glass fiber,20,15,25
3301,pa6t-lgf30,long glass fiber,30,25,35
3302,pa6t/xt-lgf40,long glass fiber,40,35,45
3303,pom-mf30,mineral,30,25,35
3304,pps cd10,carbon powder,10,5,15
3305,pa66 lgf20,long glass fiber,20,15,25
3306,pa6t/lgf30,long glass fiber,30,25,35
3307,pa6t/xt lgf40,long glass fiber,40,35,45
3308,"pps, gb20, tf",glass beads,20,15,25
3309,pps gb15 tf,glass beads,15,10,20
3310,tf pom gb20,glass beads,20,15,25
3311,"tf, pom, gb15",glass beads,15,10,20
3312,pom gb30,glass beads,30,25,35
3330,lft 59%,,59,54,64
3331,forprene 18%,,18,13,23
3332,impet27%,,27,22,32
3333,stp46%,,46,41,51
3334,pipelon 47%,,47,42,52
3335,cx 26%,,26,21,31
3336,23% lft,,23,18,28
3337,pibiter58%,,58,53,63
3338,50%ecomid,,50,45,55
3339,19%cnl,,19,14,24
3340,pultrusion17%,,17,12,22
3341,hf26%,,26,21,31
3342,pultrusion 39%,,39,34,44
3343,31%sikamid,,31,26,36
3344,14% omnilon,,14,9,19
3345,fp 19%,,19,14,24
3346,po 12%,,12,7,17
3347,kepamid38%,,38,33,43
3348,ryn 47%,,47,42,52
3349,42%celapex,,42,37,47
3350,39% hf,,39,34,44
3351,29% crastin,,29,24,34
3352,32%lft,,32,27,37
3353,bf 31%,,31,26,36
3354,compel14%,,14,9,19
3355,60%fp,,60,55,65
3356,pb 15%,,15,10,20
3357,va 59%,,59,54,64
3358,fp 31%,,31,26,36
3359,41%opp,,41,36,46
3360,polyformaldehyde 50%,,50,45,55
3361,nylon 12 45%,,45,40,50
3362,tpo 26%,,26,21,31
3363,ps53%,,53,48,58
3364,21%hd-pe,,21,16,26
3365,"pa66,6t 19%",,19,14,24
3366,58% sbs,,58,53,63
3367,30% pamxd6,,30,25,35
3368,polytetrafluoroethylene35%,,35,30,40
3369,styrene-maleic anhydride 34%,,34,29,39
3370,sbs51%,,51,46,56
3371,thermoplastic polyurethane 32%,,32,27,37
3372,54% polyoxymethylene,,54,49,59
3373,pet 60%,,60,55,65
3374,40% pa 1010,,40,35,45
3375,17% styrene-maleic anhydride,,17,12,22
3376,"nylon 66,6 26%",,26,21,31
3377,58% polyphenylene sulfide,,58,53,63
3378,31% pa 66/6t,,31,26,36
3379,polyetheretherketone52%,,52,47,57
3380,19% tpc-et,,19,14,24
3381,nylon 66-6t 50%,,50,45,55
3382,pa 6-12 37%,,37,32,42
3383,"37% polyamide 6,10",,37,32,42
3384,pp epdm 47%,,47,42,52
3385,38%paste,,38,33,43
3386,teflon 36%,,36,31,41
3387,44% pa66-6,,44,39,49
3388,46% ld-pe,,46,41,51
3389,58% sebs,,58,53,63
3445,gf 12345 pom,glass fiber,,,
3446,lgf 12345 pom,long glass fiber,,,
3453,pbt hr unfilled,unfilled,,,
3454,"pbt, hr unfilled",unfilled,,,
3455,pbt unfilled hr,unfilled,,,
3485,cacl2,mineral,,null,null
3486,pbt gf30 lsr adhesion not fr,glass fiber,30,25,35
3501,ateva and glass fiber,glass fiber,,null,null
3502,ateva and aramid fiber,arami fiber,,null,null
3503,ateva and carbon fiber,carbon fiber,,null,null
3504,ateva and long glass fiber,long glass fiber,,null,null
3505,ateva and long aramid fiber,long aramid fiber,,null,null
3506,ateva and long carbon fiber,long carbon fiber,,null,null
3507,at and glass fiber,glass fiber,,null,null
3508,at and aramid fiber,arami fiber,,null,null
3509,at and carbon fiber,carbon fiber,,null,null
3510,at and long glass fiber,long glass fiber,,null,null
3511,at and long aramid fiber,long aramid fiber,,null,null
3512,at and long carbon fiber,long carbon fiber,,null,null
3513,celanex and glass fiber,glass fiber,,null,null
3514,celanex and aramid fiber,arami fiber,,null,null
3515,celanex and carbon fiber,carbon fiber,,null,null
3516,celanex and long glass fiber,long glass fiber,,null,null
3517,celanex and long aramid fiber,long aramid fiber,,null,null
3518,celanex and long carbon fiber,long carbon fiber,,null,null
3519,celanyl and glass fiber,glass fiber,,null,null
3520,celanyl and aramid fiber,arami fiber,,null,null
3521,celanyl and carbon fiber,carbon fiber,,null,null
