entity,value,count
APPLICATION,auto for fan and shrouds,8
APPLICATION,casing for monolever,8
APPLICATION,interior auto,7
APPLICATION,keyboard,7
APPLICATION,wheel speed sensor,7
APPLICATION,ev charger,7
APPLICATION,conveyor belts,7
APPLICATION,weather seal,7
APPLICATION,visible interior parts,7
APPLICATION,valves,7
APPLICATION,coolant hose,7
APPLICATION,ev,7
APPLICATION,automotive camera,7
APPLICATION,stator busbar,7
APPLICATION,circuit breaker,7
APPLICATION,power electronics insulation,7
APPLICATION,thermal management valve,7
APPLICATION,water pump-impeller,7
APPLICATION,bumper beam,7
APPLICATION,"link for heating, ventilation, & air conditioning ( hvac )",7
APPLICATION,seat trim,7
APPLICATION,lego block,7
APPLICATION,hair dryer,7
APPLICATION,tailgate housing,7
APPLICATION,nozzle for paint,7
APPLICATION,dispenser slider for coffee machine,7
APPLICATION,acme sky hook,7
APPLICATION,rocker cover oil,7
APPLICATION,gauge for industrial,7
APPLICATION,automotive interior,7
APPLICATION,push on bushing for dishwasher,7
APPLICATION,skin for instrument panel (ip),7
APPLICATION,automotive console link-strip retainer,7
APPLICATION,backlit knob-actuator,7
APPLICATION,automotive window lift-cursor,7
APPLICATION,bev inverter,6
APPLICATION,grc,6
APPLICATION,tmm housing of bev,6
APPLICATION,radiator end tank,6
APPLICATION,water pump housing,6
APPLICATION,ev charging,6
APPLICATION,auto,6
APPLICATION,brake pads,6
APPLICATION,batteries,6
APPLICATION,air filters,6
APPLICATION,tv led panel,6
APPLICATION,pharma,6
APPLICATION,cooling line,6
APPLICATION,motor spool,6
APPLICATION,bezel for head lamp,6
APPLICATION,cap for fuel valve,6
APPLICATION,footwear,6
APPLICATION,back cover for automotive & transportation,6
APPLICATION,water pump,6
APPLICATION,hydrogen,6
APPLICATION,ev electric motor,6
APPLICATION,microwave oven component,6
APPLICATION,camshafts,6
APPLICATION,cable,6
APPLICATION,mobile antenna,6
APPLICATION,metered dose counter,6
APPLICATION,car trunk,6
APPLICATION,cable tie,6
APPLICATION,adas front camera heaters,6
APPLICATION,wheel speed,6
APPLICATION,seat bolster,6
APPLICATION,cap for pull handle,6
APPLICATION,gasoline cap,6
APPLICATION,peristaltic pump,6
APPLICATION,beer machine component,6
APPLICATION,housing for gasoline particulate filter ( gpf ) pressure sensor,6
APPLICATION,latch for tailgate,6
APPLICATION,li-ion battery separator,6
APPLICATION,cylinder head cover,6
APPLICATION,blinker fluid reservoir,6
APPLICATION,car dashboard,6
APPLICATION,gear for robot vacuum,6
APPLICATION,seat head cover box,6
APPLICATION,automotive interior carpets,6
APPLICATION,push button seat belt,6
APPLICATION,mobile phone frame,6
APPLICATION,cap for rear wiper,6
APPLICATION,active grille,6
APPLICATION,industrial weather seal,6
APPLICATION,fluorescent paints,6
APPLICATION,dishwasher,6
APPLICATION,outdoor automotive,6
APPLICATION,front plate for tasmanian devil free coffee brewing unit,6
APPLICATION,interior trim,6
APPLICATION,medical implant,6
APPLICATION,grill vent part,6
APPLICATION,autoinjector,6
APPLICATION,filter for pipette,6
APPLICATION,bearing seal for automotive & transportation,6
APPLICATION,acetabular cup,6
APPLICATION,grommet-top post,6
APPLICATION,clip for electronic button,6
APPLICATION,auto lighting,6
APPLICATION,insert for razor handle,6
APPLICATION,automotive fuel supply system-holder,6
APPLICATION,end cap cover for gear,6
APPLICATION,bobbin for starter,6
APPLICATION,housing for intercooler tank,6
APPLICATION,bracket for battery pack cable routing,6
APPLICATION,guide plate for seat length adjuster,6
APPLICATION,cooling pipes,5
APPLICATION,auto interior,5
APPLICATION,ip,5
APPLICATION,jounce bumper,5
APPLICATION,gas cap,5
APPLICATION,ev charging gun,5
APPLICATION,ccm,5
APPLICATION,autoinjector pen plunger,5
APPLICATION,food conveyor belts,5
APPLICATION,iv bag,5
APPLICATION,auto cable t4,5
APPLICATION,coolant tubes,5
APPLICATION,aircraft,5
APPLICATION,immersed coolant,5
APPLICATION,ev coolant hose,5
APPLICATION,air intake manifold,5
APPLICATION,adas camera bracket,5
APPLICATION,fuel tank,5
APPLICATION,ev cooling lines,5
APPLICATION,electric stove,5
APPLICATION,railway,5
APPLICATION,railways,5
APPLICATION,speaker grills,5
APPLICATION,tubing,5
APPLICATION,toothbrushes,5
APPLICATION,coolant tubing,5
APPLICATION,stocking,5
APPLICATION,active grille shutter,5
APPLICATION,under-the-hood (uth),5
APPLICATION,tailgate,5
APPLICATION,strut bellow,5
APPLICATION,ev cooling hoses,5
APPLICATION,suspension belllow,5
APPLICATION,charger plug,5
APPLICATION,engine mounts,5
APPLICATION,cryogenic,5
APPLICATION,tailgate tube housing,5
APPLICATION,cvj boot,5
APPLICATION,vent grill,5
APPLICATION,automotive housing,5
APPLICATION,engine parts,5
APPLICATION,pump in washing machine,5
APPLICATION,ev car,5
APPLICATION,headlight guard,5
APPLICATION,bicycle tyre,5
APPLICATION,electric vehicle connector,5
APPLICATION,auto seating headrest,5
APPLICATION,cable jacketing,5
APPLICATION,part in a beer keg,5
APPLICATION,non-woven filter,5
APPLICATION,thermo managment systems,5
APPLICATION,fuel cap for automotive fuel,5
APPLICATION,on-board charger ( obc ) in ev,5
APPLICATION,water meter housings,5
APPLICATION,part for slingshot,5
APPLICATION,consumer electronics,5
APPLICATION,oilpan,5
APPLICATION,cooling tank for trucks,5
APPLICATION,headlight protection gear,5
APPLICATION,beer keg part,5
APPLICATION,foot pedal for floor vacuum,5
APPLICATION,dynamic weather seal,5
APPLICATION,back cover for meter cluster,5
APPLICATION,fenders,5
APPLICATION,nozzle for a paint can,5
APPLICATION,circuit breakers,5
APPLICATION,connector for consumer goods,5
APPLICATION,ignition coils,5
APPLICATION,engine cooling,5
APPLICATION,infill,5
APPLICATION,exterior weatherable,5
APPLICATION,electric powertrain,5
APPLICATION,automotive overmolded busbar,5
APPLICATION,tooth brush,5
APPLICATION,smartphone mainboard cover,5
APPLICATION,belt bracket for door trim panel,5
APPLICATION,washing machine,5
APPLICATION,headlight,5
APPLICATION,bosch fuel cell battery,5
APPLICATION,bmw gen6 ix,5
APPLICATION,safety belt buckles,5
APPLICATION,automotive cooling hose,5
APPLICATION,consumer electronics antenna,5
APPLICATION,end cap for outer beltline seal (obls),5
APPLICATION,slider for vacuum cleaner,5
APPLICATION,bobbin for fuel tank isolation valve (ftiv),5
APPLICATION,cooling module for dual clutch transmission (dct),5
APPLICATION,rebound bumper for suspension,5
APPLICATION,back frame for office chair,5
APPLICATION,brewing system-dispenser button,5
APPLICATION,syringe stopper,5
APPLICATION,linear actuator for two wheeler,5
APPLICATION,mascara-stick,5
APPLICATION,spool for fiber cable,5
APPLICATION,air channel for mass air flow (maf) sensor,5
APPLICATION,dishwasher-rack clips,5
APPLICATION,boot for steering/suspension,5
APPLICATION,high voltage (hv) connector for electric vehicle (ev) powertrain,5
APPLICATION,middle gear for throttle body,5
APPLICATION,automotive side bumper-fastener and support,5
APPLICATION,soda caps liner,5
APPLICATION,bracket for air duct,5
APPLICATION,cover for sunroof,5
APPLICATION,porous plate for filtration,5
APPLICATION,clip for door lift,5
APPLICATION,isolation disk for connector,5
APPLICATION,connector for ignition,5
APPLICATION,holder for motor generator coil,5
APPLICATION,composite piping,4
APPLICATION,toilet seat covers,4
APPLICATION,spoiler,4
APPLICATION,water meter gear,4
APPLICATION,safety restraint,4
APPLICATION,electrical housing,4
APPLICATION,silicon seals,4
APPLICATION,housing for water meter,4
APPLICATION,housing for watermeter,4
APPLICATION,sound system,4
APPLICATION,energy,4
APPLICATION,immersed coolant hose,4
APPLICATION,ev immersed coolant hose,4
APPLICATION,electrical cars,4
APPLICATION,cooker handle,4
APPLICATION,refrigerator,4
APPLICATION,motor,4
APPLICATION,car mats,4
APPLICATION,automotive headlight-ball socket,4
APPLICATION,booster overmolding,4
APPLICATION,busbar overmolding,4
APPLICATION,e&e,4
APPLICATION,uth duct,4
APPLICATION,psa air duct,4
APPLICATION,battery cover,4
APPLICATION,wearable insulin pump,4
APPLICATION,beer,4
APPLICATION,cooling,4
APPLICATION,side reflector for automotive & transportation,4
APPLICATION,seal for industrial headlights,4
APPLICATION,automotive trunk,4
APPLICATION,automotive seating,4
APPLICATION,busbars,4
APPLICATION,"food processing, possibly a conveyor part",4
APPLICATION,oil filter for automotive & transportation,4
APPLICATION,peristaltic pump gears,4
APPLICATION,strut bumper,4
APPLICATION,speaker grill,4
APPLICATION,chc,4
APPLICATION,toilet seat cover,4
APPLICATION,auto application film,4
APPLICATION,raiator,4
APPLICATION,automotive seat head box,4
APPLICATION,cooling tubes,4
APPLICATION,glucose monitor,4
APPLICATION,running shoes,4
APPLICATION,power train,4
APPLICATION,baking trays,4
APPLICATION,cross car beam,4
APPLICATION,outdoor,4
APPLICATION,light aligner part,4
APPLICATION,heads up display,4
APPLICATION,suspsension bellow,4
APPLICATION,cables,4
APPLICATION,front end module,4
APPLICATION,filter for automatic transmission fluid (atf),4
APPLICATION,3-way coolant valve for automotive & transportation,4
APPLICATION,water meter for fluid ( media ) handling,4
APPLICATION,hvac air filtration housing,4
APPLICATION,cylindehead cover,4
APPLICATION,suspensions bellow,4
APPLICATION,cap for rachet,4
APPLICATION,auto-injector,4
APPLICATION,electrical vehicle connector,4
APPLICATION,drug delivery device,4
APPLICATION,glass run channel,4
APPLICATION,door frame - hinges - door lock - handle - knobs,4
APPLICATION,bumper for crankshaft pulley isolator,4
APPLICATION,cap for industrial,4
APPLICATION,beer kegs,4
APPLICATION,headlight protection,4
APPLICATION,battery,4
APPLICATION,sunglasses bin,4
APPLICATION,electronic housing in automotive,4
APPLICATION,drink bar tube,4
APPLICATION,camera base,4
APPLICATION,auto camera,4
APPLICATION,exterior auto,4
APPLICATION,5g antenna for telecommunications,4
APPLICATION,toilet seats,4
APPLICATION,beer keg pump,4
APPLICATION,protective housing for tailgate,4
APPLICATION,powertrain connectors,4
APPLICATION,footwear midsole,4
APPLICATION,vehicle trunk,4
APPLICATION,nozzle for spray paint,4
APPLICATION,impeller,4
APPLICATION,paint spray nozzle,4
APPLICATION,120a outdoor connector for electrical & electronics,4
APPLICATION,instrument panels in automotive,4
APPLICATION,electric auto connector,4
APPLICATION,light alighner,4
APPLICATION,auto passenger bracket,4
APPLICATION,automotive sensor housing,4
APPLICATION,automotive interior fastener,4
APPLICATION,steam bucket,4
APPLICATION,connector for ev,4
APPLICATION,building and construction,4
APPLICATION,rear spoiler,4
APPLICATION,fuel flanges,4
APPLICATION,microwave,4
APPLICATION,pistol frame,4
APPLICATION,pump application in a washing machine,4
APPLICATION,sausage packaging,4
APPLICATION,cooling hoses,4
APPLICATION,gas appliance,4
APPLICATION,bathroom faucet,4
APPLICATION,washing machine transmission gear,4
APPLICATION,guiding piece for head lamp,4
APPLICATION,miniature circuit breaker (mcb) housing,4
APPLICATION,pharma drug delivery,4
APPLICATION,hose for industrial,4
APPLICATION,housing for gasoline particulate filter (gpf) pressure sensor,4
APPLICATION,fuel rail,4
APPLICATION,shower cartridge valve,4
APPLICATION,cell phone case,4
APPLICATION,junction box on automotive,4
APPLICATION,vehicle chassis,4
APPLICATION,bearing for center console,4
APPLICATION,headrests,4
APPLICATION,air duct bracket for automotive & transportation,4
APPLICATION,oil transporting pipe insulation layer,4
APPLICATION,primary drug container,4
APPLICATION,auto cross beams,4
APPLICATION,head cover,4
APPLICATION,keyboard scissors,4
APPLICATION,wheel speed sensors,4
APPLICATION,epb gears,4
APPLICATION,flexible pipe for oil & gas,4
APPLICATION,structural for smart phone station (sps) display,4
APPLICATION,support for conveyor belt,4
APPLICATION,lithium ion battery separator (libs) for prismatic battery,4
APPLICATION,selector shift actuator (ssa) for double clutch transmission (dct),4
APPLICATION,bracket for filler pipe,4
APPLICATION,powertrain-service cover,4
APPLICATION,drug delivery systems,4
APPLICATION,housing for battery pyro switch,4
APPLICATION,head for cable tie,4
APPLICATION,emergency charger cable for electric vehicle (ev),4
APPLICATION,sliding for farm machine,4
APPLICATION,contact holder for high speed data connector,4
APPLICATION,automotive seat-latch housing,4
APPLICATION,housing for irrigation pressure regulator,4
APPLICATION,impeller for oven,4
APPLICATION,check valve clapper for vacuum pump,4
APPLICATION,distance adjustment for head rest,4
APPLICATION,end cap for battery module,4
APPLICATION,cap for sunroof,4
APPLICATION,connector for control power transformer (cpt),4
APPLICATION,lawn trimmer-cable drum housing and cover,4
APPLICATION,automotive-4 way headrest,4
APPLICATION,accumulator for water pump,4
APPLICATION,skirt fairing for trunk body,4
APPLICATION,automotive fr bumper-retainer,4
APPLICATION,distribution plate for fuel cell stack,4
APPLICATION,x-ray,4
APPLICATION,holder for thermal management module (tmm),4
APPLICATION,automotive-2w fuel delivery module (fdm),4
APPLICATION,wingnut for dishwasher,4
APPLICATION,bearing for furniture,4
APPLICATION,mini driver for power seat,4
APPLICATION,housing for light control,4
APPLICATION,automotive cargo area-hook,4
APPLICATION,expansion joint for building & construction,4
APPLICATION,thumb wheel for air conditioner (ac),4
APPLICATION,blade for wiper,4
APPLICATION,gear for window shade,4
APPLICATION,back for chair,4
APPLICATION,mirror for door,4
APPLICATION,seal for seat recliner,4
APPLICATION,automotive connector-pin,4
APPLICATION,filter for diesel exhaust fluid (def),4
APPLICATION,connector for automotive video navigation (avn),4
APPLICATION,bellow for suspension,4
APPLICATION,latch for society of automotive engineers (sae) connector,4
APPLICATION,duct for air intake,4
APPLICATION,pushrod retainer for plug-in hybrid electric vehicle (phev),4
APPLICATION,bobbin housing for dishwasher,4
APPLICATION,dispension monitoring for diabetes pharmaceutical preparation,4
APPLICATION,protective cap for electronical & electronics,4
APPLICATION,strut for trunk door,4
APPLICATION,protection channel for wiring harness,4
APPLICATION,seal for a headlight,4
APPLICATION,yarn,3
APPLICATION,battery immersed coolant hose,3
APPLICATION,terminal connectors,3
APPLICATION,structural applications,3
APPLICATION,sliding rail,3
APPLICATION,fishing line,3
APPLICATION,gunstock,3
APPLICATION,thermal breakers,3
APPLICATION,bobbin,3
APPLICATION,port connector,3
APPLICATION,speaker grille,3
APPLICATION,propulsion cooling,3
APPLICATION,busbar in automotive,3
APPLICATION,energy storage,3
APPLICATION,energy storage connector,3
APPLICATION,oil gas,3
APPLICATION,camera bracket,3
APPLICATION,relaybox,3
APPLICATION,cooling hose,3
APPLICATION,suspension part,3
APPLICATION,roof liner,3
APPLICATION,cap for light emitting diode ( led ),3
APPLICATION,prosthetic dog ear,3
APPLICATION,hip implant,3
APPLICATION,crossbeam for automotive and transportation,3
APPLICATION,water purification,3
APPLICATION,high voltage connector,3
APPLICATION,cap for gas valve,3
APPLICATION,part in beer machine,3
APPLICATION,back door plate for automotive & transportation,3
APPLICATION,orthopedic implant,3
APPLICATION,cable ties,3
APPLICATION,housing for a tailgate spring,3
APPLICATION,parts in a light aligner,3
APPLICATION,peristaltic tub,3
APPLICATION,dosing pump for chemicals,3
APPLICATION,head lamp housing,3
APPLICATION,cap for fuel tank,3
APPLICATION,cap for laboratory glass bottle,3
APPLICATION,peristaltic tubing,3
APPLICATION,baby stroller for consumer goods,3
APPLICATION,dental part,3
APPLICATION,electric motor,3
APPLICATION,adas,3
APPLICATION,ev charge insulation,3
APPLICATION,fuel pump,3
APPLICATION,thermo management housing,3
APPLICATION,overmolding,3
APPLICATION,adas windshield bracket,3
APPLICATION,ski bindings,3
APPLICATION,tube housing for tailgate,3
APPLICATION,ip frame,3
APPLICATION,washer-m6 bolt,3
APPLICATION,dental,3
APPLICATION,screw in injection device,3
APPLICATION,e-motor,3
APPLICATION,plastic suspension bellows,3
APPLICATION,passenger wagon interior components,3
APPLICATION,implanted medical devices,3
APPLICATION,medical devices,3
APPLICATION,bus - bar for batteries,3
APPLICATION,sump filter for automotive transmission,3
APPLICATION,air intake manifolds for auto,3
APPLICATION,oil drilling,3
APPLICATION,water meter,3
APPLICATION,5g,3
APPLICATION,insulin pen,3
APPLICATION,hose for paint,3
APPLICATION,auto exterior roof extender,3
APPLICATION,fuel cells,3
APPLICATION,filter for automatic transmission fluid ( atf ),3
APPLICATION,hose for paint sprayers,3
APPLICATION,cable insulation,3
APPLICATION,toys,3
APPLICATION,cap for light emitting diode (led),3
APPLICATION,wearable pump,3
APPLICATION,hv connector,3
APPLICATION,plunger stopper for anesthesia syringe,3
APPLICATION,battery separator,3
APPLICATION,window crank for automotive & transportation,3
APPLICATION,car roof,3
APPLICATION,coffee maker,3
APPLICATION,electric cover for automotive & transportation,3
APPLICATION,suite for air-intake manifold,3
APPLICATION,compact camera module ( ccm ) for automotive,3
APPLICATION,part on a beer machine,3
APPLICATION,suspension bellows,3
APPLICATION,lead screws in autoinjectors,3
APPLICATION,"air ducts, hoses & resonators",3
APPLICATION,turbo gasolene engine/diesel,3
APPLICATION,rocker cover,3
APPLICATION,gear,3
APPLICATION,vehicle dashboard,3
APPLICATION,tube,3
APPLICATION,miniature circuit breaker ( mcb ) housing,3
APPLICATION,ags vanes,3
APPLICATION,hose for paint sprayer,3
APPLICATION,cap for distributor,3
APPLICATION,thermal management materials for ev,3
APPLICATION,mcb ( circuit breakers ),3
APPLICATION,airspring,3
APPLICATION,fastener,3
APPLICATION,cap for fuel pump module,3
APPLICATION,coolant tube,3
APPLICATION,accelerator pedal for automotive & transportation,3
APPLICATION,automotive boots without squeaking noise,3
APPLICATION,fuel pump impellers,3
APPLICATION,under - the - hood ( uth ),3
APPLICATION,controlled release of drugs,3
APPLICATION,diapers,3
APPLICATION,knees implant,3
APPLICATION,cover for engine,3
APPLICATION,electrolyzer,3
APPLICATION,wire and cable,3
APPLICATION,material handling,3
APPLICATION,hose paint,3
APPLICATION,protective housings for the tailgate,3
APPLICATION,relay,3
APPLICATION,water filter for homewhole,3
APPLICATION,fcv,3
APPLICATION,seat cushion,3
APPLICATION,insulin pump,3
APPLICATION,part of a beer keg,3
APPLICATION,toothbrush,3
APPLICATION,mdi valve,3
APPLICATION,microwave oven part,3
APPLICATION,artificial cow hoof,3
APPLICATION,smt solder for vhdm connector,3
APPLICATION,control valve for carbon cannister,3
APPLICATION,paint tip dispenser,3
APPLICATION,hv connectors,3
APPLICATION,automotive camera part,3
APPLICATION,wig,3
APPLICATION,peristaltic pump tubing,3
APPLICATION,busbars in traction motors,3
APPLICATION,headrest,3
APPLICATION,domestic circuit breaker,3
APPLICATION,multicontrol valves,3
APPLICATION,clip for roof bar,3
APPLICATION,computer,3
APPLICATION,body plug for automotive & transportation,3
APPLICATION,thermal management module,3
APPLICATION,furniture,3
APPLICATION,pump impeller,3
APPLICATION,sheath for subsea flexible riser,3
APPLICATION,protective tube housing for a tailgate,3
APPLICATION,soft-touch toothbrush overmolding,3
APPLICATION,auto connector,3
APPLICATION,computer keyboard,3
APPLICATION,seat head cover box for automobiles,3
APPLICATION,fuel pomp,3
APPLICATION,bushing in residential heating systems,3
APPLICATION,dashboard,3
APPLICATION,safety belt push buttons,3
APPLICATION,pump in a washing machine,3
APPLICATION,compact camera module (ccm) for automotive,3
APPLICATION,automotive camera bases,3
APPLICATION,knee replacement,3
APPLICATION,tmm,3
APPLICATION,laptop keyboard,3
APPLICATION,cowl vent grill,3
APPLICATION,headlamp housing,3
APPLICATION,turn signal-shaft base,3
APPLICATION,refrigerator-spring finger,3
APPLICATION,hinge for panel truck,3
APPLICATION,body-clip,3
APPLICATION,furniture-gear,3
APPLICATION,lid lock for washing machine,3
APPLICATION,hinge for conveyor belt,3
APPLICATION,gear for flowmeter,3
APPLICATION,"""aqua pro"" gear program",3
APPLICATION,connector for fan,3
APPLICATION,seat belt retractor,3
APPLICATION,seat belt guide & pillar loop,3
APPLICATION,filter bottle-shaft parts,3
APPLICATION,box for specimen collection,3
APPLICATION,water valve for refrigerator,3
APPLICATION,control handle for exterior mirror,3
APPLICATION,locknut for railway,3
APPLICATION,lens barrel for automotive compact camera module (ccm),3
APPLICATION,housing for brake bushing,3
APPLICATION,sail for roof load carrying,3
APPLICATION,guide bushing for headrest,3
APPLICATION,fishing reel,3
APPLICATION,box for capacitor,3
APPLICATION,housing for airbag,3
APPLICATION,carrier for back rest,3
APPLICATION,bracket for console,3
APPLICATION,gearbox for washing machine,3
APPLICATION,holding structure for camera,3
APPLICATION,"automotive sensor-drive cover, adapter",3
APPLICATION,cassette stove-valve,3
APPLICATION,part for power electronics insulation,3
APPLICATION,gas generator for seat belt,3
APPLICATION,bearing cage for interior,3
APPLICATION,resonator for engine,3
APPLICATION,elastomer connector port for intravenous bag,3
APPLICATION,housing for safety belt system,3
APPLICATION,braking motor system for automobile & transportation,3
APPLICATION,automotive fuel supply system-flange,3
APPLICATION,antenna baseplate for 5g infrastructure,3
APPLICATION,lower rack clip for dishwasher,3
APPLICATION,structural support for console,3
APPLICATION,fixation for battery pack cable,3
APPLICATION,sleeve for compressor shaft,3
APPLICATION,holder for projector camera,3
APPLICATION,inlet valve for dishwasher,3
APPLICATION,autoinjector-anaphylaxis,3
APPLICATION,capless fuel supply system,3
APPLICATION,insulated cover of electric vehicle (ev) charger,3
APPLICATION,valve for drink machine,3
APPLICATION,connector for surveillance camera,3
APPLICATION,support for railway bridge,3
APPLICATION,pedals & gear shift systems,3
APPLICATION,valve for liquid package,3
APPLICATION,key lock,3
APPLICATION,seal for hydraulic pump,3
APPLICATION,coil bobbin for scanner,3
APPLICATION,air duct adapter for defroster,3
APPLICATION,drop gate for tailgate latch,3
APPLICATION,battery module for electric powertrain,3
APPLICATION,automotive bushing-bearing cover,3
APPLICATION,clip for slider rail,3
APPLICATION,refrigerator-food drawer roller,3
APPLICATION,buckle and shoes,3
APPLICATION,bulb for blowing air,3
APPLICATION,web sense retractor for seat belt,3
APPLICATION,washer for acetylene burner,3
APPLICATION,guide rail for furniture,3
APPLICATION,driving bridge for beard and hair trimmer,3
APPLICATION,fuse assembly protection box for under the hood (uth),3
APPLICATION,automotive door-stopper,3
APPLICATION,brush cutter-gear,3
APPLICATION,connector for game machine,3
APPLICATION,housing in a medical,3
APPLICATION,strike door plate for dishwasher,3
APPLICATION,"butt adaptor for military, weapons, munitions",3
APPLICATION,connection ring for natural glove,3
APPLICATION,automobile (gasoline)-fuel module,3
APPLICATION,foam,2
APPLICATION,junction box plastic,2
APPLICATION,oil pump plastic,2
APPLICATION,air pump,2
APPLICATION,metal composite material (mcm) trim for instrument panel (ip),2
APPLICATION,auger for material conveying,2
APPLICATION,sliding material for transmission,2
APPLICATION,coil material for full plastic hose,2
APPLICATION,hips implant for medical & pharma,2
APPLICATION,syringe stopper for medical & pharma,2
APPLICATION,orthopedic implant for medical & pharma,2
APPLICATION,peristaltic tub for medical & pharma,2
APPLICATION,dental part for medical & pharma,2
APPLICATION,glucose monitor for medical & pharma,2
APPLICATION,drug elution for medical & pharma,2
APPLICATION,insulin pen for medical-pharma,2
APPLICATION,x-ray for medical & pharma,2
APPLICATION,knees implant for medical/pharma,2
APPLICATION,implant for medical & pharma,2
APPLICATION,mdi valve for medical & pharma,2
APPLICATION,iv bag for medical pharma,2
APPLICATION,automotive headlight,2
APPLICATION,automotive headlight-ball,2
APPLICATION,ev bobbin,2
APPLICATION,coolant fluid,2
APPLICATION,coolant valve,2
APPLICATION,fluid transfer of gasoline,2
APPLICATION,oil cooling ring,2
APPLICATION,exhaust of car,2
APPLICATION,coffee machines,2
APPLICATION,fuel sensor,2
APPLICATION,sensor connector for under hood,2
APPLICATION,food contact packaging for bananas,2
APPLICATION,electric charging converter,2
APPLICATION,high voltage connectors,2
APPLICATION,battery cell holder,2
APPLICATION,cap for fuel module,2
APPLICATION,profiles,2
APPLICATION,industrial baking oven,2
APPLICATION,automotive headset cover box,2
APPLICATION,seat,2
APPLICATION,retainer for beer hoist,2
APPLICATION,fastener for air conditioner,2
APPLICATION,flange for fuel module,2
APPLICATION,electrical,2
APPLICATION,ddr,2
APPLICATION,thermostat housing,2
APPLICATION,automotive camera mount,2
APPLICATION,battery system,2
APPLICATION,grc foot,2
APPLICATION,copy machine,2
APPLICATION,engine mount,2
APPLICATION,paint can nozzles,2
APPLICATION,slipcoat,2
APPLICATION,weatherseal,2
APPLICATION,cap for lipstick,2
APPLICATION,cooling lines,2
APPLICATION,tailgate protective housing,2
APPLICATION,sound mesh,2
APPLICATION,thermal management,2
APPLICATION,drug delivery,2
APPLICATION,cap for refrigerator water filter,2
APPLICATION,brush holder,2
APPLICATION,battery disconnet unit,2
APPLICATION,car camera,2
APPLICATION,hinge for consumer goods furniture,2
APPLICATION,water pump housings,2
APPLICATION,heat sink,2
APPLICATION,ev charger station frame,2
APPLICATION,wire coating,2
APPLICATION,air ducts,2
APPLICATION,computer keyboard tab,2
APPLICATION,rail pads,2
APPLICATION,radome,2
APPLICATION,rifle stock,2
APPLICATION,drug elution,2
APPLICATION,safety,2
APPLICATION,seal for headlights,2
APPLICATION,cooling produce,2
APPLICATION,melt blown fiber,2
APPLICATION,low pressure tank for automotive & transportation,2
APPLICATION,terminal blocks,2
APPLICATION,beer keg component,2
APPLICATION,bracket for light,2
APPLICATION,motor housing for robot vacuum cleaner,2
APPLICATION,automotive water pump-impeller,2
APPLICATION,robotic cable,2
APPLICATION,sliding,2
APPLICATION,drinking water,2
APPLICATION,cooling part,2
APPLICATION,spring,2
APPLICATION,watertank,2
APPLICATION,bus bar,2
APPLICATION,kitchen ovens,2
APPLICATION,curcuit breaker,2
APPLICATION,bread pan,2
APPLICATION,flux capacitor,2
APPLICATION,wall box application in ev charging station,2
APPLICATION,housing for solenoid valve,2
APPLICATION,electrical vehicle cooling hose,2
APPLICATION,automotive seat cover,2
APPLICATION,camera base for automotive,2
APPLICATION,stator,2
APPLICATION,healtcare,2
APPLICATION,air springs,2
APPLICATION,diaphragm for consumer goods pump,2
APPLICATION,ev hose cooling,2
APPLICATION,wind turbine blades,2
APPLICATION,battery relay box,2
APPLICATION,battery cell,2
APPLICATION,electrolyzer frame,2
APPLICATION,mandrels,2
