idx,query,property_name,property_type,value,min,max,unit,shape
445,"v0
f1
cti = 600",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
445,"v0
f1
cti = 600",flame rating,ul_sub_property,v-0,,,,exact value only
445,"v0
f1
cti = 600",outdoor suitability,ul_property,f1,,,,exact value only
445,"v0
f1
cti = 600",comparative tracking index (cti),ul_property,600.0,540.0,660.0,,banded (value +/- band)
449,hytrel grade with a shore a hardness between 55 and 70,shore a hardness iso 48-4 / iso 868 15s,property,,55.0,70.0,,explicit range
450,"zytel grade with tensile modulus higher than 7gpa, and tensile stress at break higher than 3.5%",tensile modulus,property,,7.0,,gpa,open lower (>= min)
450,"zytel grade with tensile modulus higher than 7gpa, and tensile stress at break higher than 3.5%",stress at break,property,,3.5,,%,open lower (>= min)
458,pa6 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
458,pa6 v0,flame rating,ul_sub_property,v-0,,,,exact value only
459,ppa with high cti,comparative tracking index (cti),ul_property,high,,,,exact value only
460,high cti and high thermal shock grade,comparative tracking index (cti),ul_property,high,,,,exact value only
467,need a grade with a dielectric strength of 30 and gwfi of 700 at 1mm,dielectric strength,ul_property,30.0,27.0,33.0,,banded (value +/- band)
467,need a grade with a dielectric strength of 30 and gwfi of 700 at 1mm,minimum thickness (mm),ul_property,1.0,,,mm,exact value only
467,need a grade with a dielectric strength of 30 and gwfi of 700 at 1mm,glow wire flammability index,ul_sub_property,700.0,630.0,770.0,,banded (value +/- band)
469,sebs shore 60-70,shore,property,,60.0,70.0,,explicit range
483,santoprene shore a 40,shore a hardness iso 48-4 / iso 868 15s,property,40.0,36.0,44.0,,banded (value +/- band)
529,creep data for pom,tensile creep modulus,property,,,,,categorical / no number
534,"thermal conductive,electrical insulation,pa",dielectric strength,ul_property,,,,,categorical / no number
535,pa6-cf passion ratio and stress-strain curves,poisson's ratio,property,,,,,categorical / no number
539,all grades55248 mp minimum 70,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,,70.0,,,open lower (>= min)
540,55248 mp70 santoprene m100,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,70.0,63.0,77.0,,banded (value +/- band)
541,55248 mp70,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,70.0,63.0,77.0,,banded (value +/- band)
554,"frianyl v0 black""",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
554,"frianyl v0 black""",flame rating,ul_sub_property,v-0,,,,exact value only
570,pa6-cf passion ratio and stress-strain curves,poisson's ratio,property,,,,,categorical / no number
574,all grades55248 mp minimum 70,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,,70.0,,,open lower (>= min)
575,55248 mp70 santoprene m100,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,70.0,63.0,77.0,,banded (value +/- band)
576,55248 mp70,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,70.0,63.0,77.0,,banded (value +/- band)
589,"frianyl v0 black""",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
589,"frianyl v0 black""",flame rating,ul_sub_property,v-0,,,,exact value only
613,pa6 gf flame retardant 5va,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
613,pa6 gf flame retardant 5va,flame rating,ul_sub_property,5va,,,,exact value only
617,i need very soft elastomer,shore a hardness iso 48-4 / iso 868 15s,property,low,,,,exact value only
625,high strength modulusÃƒÂ¯Ã‚Â¼Ã…â€œlow wearÃƒÂ¯Ã‚Â¼Ã…â€œhdt more than 150ÃƒÂ¢Ã¢â‚¬Å¾Ã†â€™,tensile modulus,property,high,,,mpa,exact value only
625,high strength modulusÃƒÂ¯Ã‚Â¼Ã…â€œlow wearÃƒÂ¯Ã‚Â¼Ã…â€œhdt more than 150ÃƒÂ¢Ã¢â‚¬Å¾Ã†â€™,temperature of deflection under load,property,,150.0,,f,open lower (>= min)
626,high strength modulusÃƒÂ¯Ã‚Â¼Ã…â€œlow wearÃƒÂ¯Ã‚Â¼Ã…â€œhdt>150ÃƒÂ¢Ã¢â‚¬Å¾Ã†â€™,tensile modulus,property,high,,,mpa,exact value only
626,high strength modulusÃƒÂ¯Ã‚Â¼Ã…â€œlow wearÃƒÂ¯Ã‚Â¼Ã…â€œhdt>150ÃƒÂ¢Ã¢â‚¬Å¾Ã†â€™,temperature of deflection under load,property,,150.0,,f,open lower (>= min)
627,high strength modulus,tensile modulus,property,high,,,,exact value only
628,i need a material with a tensile strength of 135 mpa,tensile stress,property,135.0,121.5,148.5,mpa,banded (value +/- band)
630,thermally conductive with tensile modulus of 20 gpa,tensile modulus,property,20.0,18.0,22.0,gpa,banded (value +/- band)
639,pa6 gf flame retardant 5va,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
639,pa6 gf flame retardant 5va,flame rating,ul_sub_property,5va,,,,exact value only
643,i need very soft elastomer,shore a hardness iso 48-4 / iso 868 15s,property,low,,,,exact value only
651,high strength modulusÃƒÂ¯Ã‚Â¼Ã…â€œlow wearÃƒÂ¯Ã‚Â¼Ã…â€œhdt more than 150ÃƒÂ¢Ã¢â‚¬Å¾Ã†â€™,tensile modulus,property,high,,,mpa,exact value only
651,high strength modulusÃƒÂ¯Ã‚Â¼Ã…â€œlow wearÃƒÂ¯Ã‚Â¼Ã…â€œhdt more than 150ÃƒÂ¢Ã¢â‚¬Å¾Ã†â€™,temperature of deflection under load,property,,150.0,,f,open lower (>= min)
652,high strength modulusÃƒÂ¯Ã‚Â¼Ã…â€œlow wearÃƒÂ¯Ã‚Â¼Ã…â€œhdt>150ÃƒÂ¢Ã¢â‚¬Å¾Ã†â€™,tensile modulus,property,high,,,mpa,exact value only
652,high strength modulusÃƒÂ¯Ã‚Â¼Ã…â€œlow wearÃƒÂ¯Ã‚Â¼Ã…â€œhdt>150ÃƒÂ¢Ã¢â‚¬Å¾Ã†â€™,temperature of deflection under load,property,,150.0,,f,open lower (>= min)
653,high strength modulus,tensile modulus,property,high,,,,exact value only
654,i need a material with a tensile strength of 135 mpa,tensile stress,property,135.0,121.5,148.5,mpa,banded (value +/- band)
656,thermally conductive with tensile modulus of 20 gpa,tensile modulus,property,20.0,18.0,22.0,gpa,banded (value +/- band)
663,hostaform with mvr 12,melt volume-flow rate iso 1133 (cmÂ³/10min),property,12.0,10.8,13.2,,banded (value +/- band)
677,which pa66 fr grade can have longest elongation?,tensile strain,property,high,,,,exact value only
696,pbt with 20-30% glass v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
696,pbt with 20-30% glass v0,flame rating,ul_sub_property,v-0,,,,exact value only
701,15000 mpa modulus material,tensile modulus,property,15000.0,13500.0,16500.0,mpa,banded (value +/- band)
702,high modulus material,tensile modulus,property,high,,,,exact value only
704,lcp with tensile strain at break > 4%,tensile strain at break,property,,4.0,,%,open lower (>= min)
705,material with high stiffness,tensile modulus,property,high,,,,exact value only
753,super high stiffness nylon,tensile modulus,property,high,,,,exact value only
779,pa carbon fiber v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
779,pa carbon fiber v0,flame rating,ul_sub_property,v-0,,,,exact value only
781,emi shielding & fr v-0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
781,emi shielding & fr v-0,flame rating,ul_sub_property,v-0,,,,exact value only
791,get nylon material with condition stress at break more than 190mpa,stress at break,property,,190.0,,mpa,open lower (>= min)
797,ascend eco515h nylon 6/6 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
797,ascend eco515h nylon 6/6 v0,flame rating,ul_sub_property,v-0,,,,exact value only
805,pom with highest density,density iso 1183 (kg/mÂ³),property,highest,,,,exact value only
813,flex stress of 20,flexural strength,property,20.0,18.0,22.0,,banded (value +/- band)
823,grade with service temperature of minimum 160,continuous service temperature iec 60216-1 (Â°c),property,,160.0,,,open lower (>= min)
824,find me a polyamide with v0 rating at 0,minimum thickness (mm),ul_property,0.0,,,mm,exact value only
824,find me a polyamide with v0 rating at 0,flame rating,ul_sub_property,v-0,,,,exact value only
827,ul94 v0 grade at 0.8 mm,minimum thickness (mm),ul_property,0.8,,,mm,exact value only
827,ul94 v0 grade at 0.8 mm,flame rating,ul_sub_property,v-0,,,,exact value only
830,flexral modulus of 20,flexural modulus,property,20.0,18.0,22.0,,banded (value +/- band)
846,pp with a gwit higher than 600,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
846,pp with a gwit higher than 600,glow wire ignition temperature,ul_sub_property,,600.0,,,open lower (>= min)
847,pp with a glow wire ignition temperature  higher than 600,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
847,pp with a glow wire ignition temperature  higher than 600,glow wire ignition temperature,ul_sub_property,,600.0,,,open lower (>= min)
855,61 mpa tensile 90 mpa flex,tensile,property,61.0,54.9,67.1,mpa,banded (value +/- band)
855,61 mpa tensile 90 mpa flex,flexural modulus,property,90.0,81.0,99.0,mpa,banded (value +/- band)
866,outdoor suitability,outdoor suitability,ul_property,f1,,,,exact value only
876,flexible lcp,flexural modulus,property,high,,,,exact value only
897,pom copo mfi  9 natural,melt mass-flow rate iso 1133 (g/10min),property,9.0,8.1,9.9,,banded (value +/- band)
928,ppa gf30 ul94 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
928,ppa gf30 ul94 v0,flame rating,ul_sub_property,v-0,,,,exact value only
934,cold temperature performance with high elongation at break,tensile strain at break,property,high,,,,exact value only
935,a material that has excellent cold temperature performance with high elongation at break,tensile strain at break,property,high,,,,exact value only
940,high temperature nylon that can be used in connectors,continuous service temperature iec 60216-1 (Â°c),property,high,,,,exact value only
966,material that is flame retardant v0 in orange and with cti 600,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
966,material that is flame retardant v0 in orange and with cti 600,flame rating,ul_sub_property,v-0,,,,exact value only
966,material that is flame retardant v0 in orange and with cti 600,comparative tracking index (cti),ul_property,600.0,540.0,660.0,,banded (value +/- band)
